source,target
cs/0312044,cs/0111054
cond-mat/0309157,q-bio/0403003
quant-ph/0102034,quant-ph/0105001
quant-ph/0002037,quant-ph/0105001
q-bio/0312022,q-bio/0312021
q-bio/0310029,q-bio/0312021
quant-ph/0002037,quant-ph/0102034
cs/0601122,cs/0601135
q-bio/0403003,q-bio/0504004
q-bio/0312021,q-bio/0312022
q-bio/0310029,q-bio/0312022
q-bio/0406049,q-bio/0409023
quant-ph/0002037,physics/0308091
quant-ph/0105001,q-bio/0403036
q-bio/0403018,q-bio/0406011
q-bio/0403003,q-bio/0407002
cond-mat/0309157,q-bio/0407002
q-bio/0501004,q-bio/0502005
q-bio/0501011,q-bio/0503009
physics/0108016,q-bio/0504013
q-bio/0410033,q-bio/0504013
q-bio/0412015,q-bio/0504013
q-bio/0412015,q-bio/0507030
q-bio/0406015,q-bio/0510030
math/0603302,q-bio/0606032
