id,title,pagerank,betweenness,in_degree,out_degree
q-bio/0502005,Cliques and duplication-divergence network growth,8.701130740940533e-06,0.0,8.0,0.0
q-bio/0504004,Electronic Transport in DNA,7.533323202403175e-06,0.0,5.0,1.0
cond-mat/0302544,Connectivity Distribution of Spatial Networks,7.091575935056103e-06,1.991667966171385e-06,7.0,2.0
q-bio/0507030,Conspiracy in bacterial genomes,6.784848700124495e-06,0.0,2.0,0.0
q-bio/0504013,PCA and K-Means decipher genome,6.705636886823234e-06,0.0,3.0,0.0
q-bio/0311014,Determinative degree and nucleotide sequence analysis by trianders,4.8370326599021295e-06,0.0,3.0,0.0
q-bio/0312021,"Inherent size constraints on prokaryote gene networks due to
  ""accelerating"" growth",4.582237593858069e-06,4.524335633767218e-06,5.0,3.0
cond-mat/0207321,Data compression and learning in time sequences analysis,4.552510898179494e-06,0.0,1.0,0.0
q-bio/0406011,Imperfect DNA Repair and the Error Catastrophe,4.21043244778407e-06,0.0,2.0,0.0
q-bio/0312022,"Failed ""nonaccelerating"" models of prokaryote gene regulatory networks",4.12971795399622e-06,0.0,5.0,2.0
q-bio/0503009,New symmetry in nucleotide sequences,3.826788423397162e-06,0.0,1.0,0.0
q-bio/0412015,"The Mystery of Two Straight Lines in Bacterial Genome Statistics.
  Release 2007",3.702565106583692e-06,0.0,1.0,2.0
cond-mat/0108043,Modeling of protein interaction networks,3.4879926473252784e-06,0.0001006867766265,3.0,15.0
q-bio/0402044,Solution of the Quasispecies Model for an Arbitrary Gene Network,3.4870386309160864e-06,0.0,1.0,0.0
q-bio/0501011,Information Capacity of Biological Macromoleculae Reloaded,3.0472482127272877e-06,0.0,2.0,1.0
quant-ph/0105001,Why Genetic Information Processing could have a Quantum Basis,2.9733268359828585e-06,0.0,5.0,4.0
q-bio/0508023,Rank Statistics in Biological Evolution,2.7643367442980106e-06,0.0,1.0,0.0
q-bio/0607029,Modeling gene's length distribution in genomes,2.651895837668813e-06,0.0,1.0,0.0
q-bio/0612043,"Hybridization to surface-bound oligonucleotide probes: Influence of
  point defects",2.6453040214808263e-06,0.0,1.0,0.0
q-bio/0607018,A p-Adic Model of DNA Sequence and Genetic Code,2.607192308477306e-06,0.0,2.0,5.0
q-bio/0311009,Tropical Geometry of Statistical Models,2.5842735651951256e-06,3.4394724634059154e-05,5.0,6.0
q-bio/0509043,"Statistical Indicators of Collective Behavior and Functional Clusters in
  Gene Networks of Yeast",2.50983732247804e-06,0.0,2.0,0.0
q-bio/0401033,Parametric Inference for Biological Sequence Analysis,2.4711431321721443e-06,0.0,1.0,1.0
q-bio/0510030,"Genome-wide discovery of modulators of transcriptional interactions in
  human B lymphocytes",2.4711431321721443e-06,0.0,1.0,0.0
q-bio/0603011,PFMFind: a system for discovery of peptide homology and function,2.4711431321721443e-06,0.0,1.0,0.0
q-bio/0606032,Probabilistic Regulatory Networks: Modeling Genetic Networks,2.4711431321721443e-06,0.0,1.0,0.0
math/0411128,Why Delannoy numbers?,2.4711431321721443e-06,0.0,1.0,0.0
q-bio/0404019,"Partly melted DNA conformations obtained with a probability peak finding
  method",2.4711431321721443e-06,0.0,1.0,0.0
physics/0201033,"Finding regulatory sites from statistical analysis of nucleotide
  frequencies in the upstream region of eukaryotic genes",2.4711431321721443e-06,0.0,1.0,0.0
cs/0601135,Strategies of Loop Recombination in Ciliates,2.4711431321721443e-06,0.0,1.0,1.0
q-bio/0407002,"Nonlinear excitations in DNA: Aperiodic models vs actual genome
  sequences",2.429735359900988e-06,0.0,2.0,0.0
q-bio/0403036,The Triplet Genetic Code had a Doublet Predecessor,2.3926175333662813e-06,0.0,3.0,0.0
q-bio/0411033,An Information-Theoretic Approach to Network Modularity,2.3903102790446403e-06,0.0,2.0,0.0
quant-ph/0102034,Testing Quantum Dynamics in Genetic Information Processing,1.9409765640077197e-06,0.0,4.0,2.0
q-bio/0410011,"Co-expression of statistically over-represented peptides in proteomes: a
  key to phylogeny ?",1.8950380516170012e-06,0.0,1.0,0.0
cs/0312044,Clustering by compression,1.8935506151611049e-06,0.0,2.0,5.0
cs/0111054,The similarity metric,1.8563310916148584e-06,0.0,2.0,3.0
q-bio/0409023,"The Shift-Match Number and String Matching Probabilities for Binary
  Sequences",1.703003024765287e-06,0.0,1.0,1.0
q-bio/0403003,Disorder and fluctuations in nonlinear excitations in DNA,1.703003024765287e-06,0.0,1.0,2.0
physics/0206031,Process Pathway Inference via Time Series Analysis,1.703003024765287e-06,0.0,1.0,0.0
q-bio/0612046,An introduction to reconstructing ancestral genomes,1.60698551133943e-06,0.0,1.0,0.0
q-bio/0402046,Sublinear Growth of Information in DNA Sequences,1.5855255443832496e-06,0.0,1.0,1.0
q-bio/0410012,Exact Asymptotic Results for a Model of Sequence Alignment,1.5109679979135728e-06,0.0,1.0,1.0
q-bio/0403018,The Importance of DNA Repair in Tumor Suppression,1.4826494948284814e-06,0.0,1.0,2.0
physics/0308091,Symmetry Scheme for Amino Acid Codons,1.4499921809450502e-06,0.0,1.0,0.0
quant-ph/0002037,Quantum Algorithms and the Genetic Code,1.351174941359052e-06,0.0,2.0,9.0
q-bio/0406049,Analytical Solution of a Stochastic Content Based Network Model,1.3189329710618589e-06,0.0,0.0,3.0
q-bio/0408011,Unidentifiable divergence times in rates-across-sites models,1.3189329710618589e-06,0.0,0.0,1.0
cond-mat/0311483,Phase-Transition in Binary Sequences with Long-Range Correlations,1.3189329710618589e-06,0.0,0.0,1.0
q-bio/0312032,"Modularity ""for free"" in genome architecture?",1.3189329710618589e-06,0.0,0.0,4.0
cs/0601122,Reducibility of Gene Patterns in Ciliates using the Breakpoint Graph,1.3189329710618589e-06,0.0,0.0,1.0
q-bio/0310029,"Statistical analysis of the spatial distribution of operons in the
  transcriptional regulation network of Escherichia coli",1.3189329710618589e-06,0.0,0.0,3.0
physics/0112029,DNA Sequence Evolution with Neighbor-Dependent Mutation,1.3189329710618589e-06,0.0,0.0,1.0
math/0511346,"Sequential and asynchronous processes driven by stochastic or quantum
  grammars and their application to genomics: a survey",1.3189329710618589e-06,0.0,0.0,1.0
math/0506082,"Discrete differential geometry of proteins: a new method for encoding
  three-dimensional structures of proteins",1.3189329710618589e-06,0.0,0.0,1.0
adap-org/9605002,Physical Complexity of Symbolic Sequences,1.3189329710618589e-06,0.0,0.0,6.0
q-bio/0505002,"Limitations of Markov chain Monte Carlo algorithms for Bayesian
  Inference of phylogeny",1.3189329710618589e-06,0.0,0.0,1.0
q-bio/0510021,"Non-extensive Trends in the Size Distribution of Coding and Non-coding
  DNA Sequences in the Human Genome",1.3189329710618589e-06,0.0,0.0,1.0
math/0603302,"Probabilistic Gene Regulatory Networks, isomorphisms of Markov Chains",1.3189329710618589e-06,0.0,0.0,1.0
adap-org/9704003,The Study of Correlation Structures of DNA Sequences: A Critical Review,1.3189329710618589e-06,0.0,0.0,1.0
q-bio/0410013,Synonymous codon usage and selection on proteins,1.3189329710618589e-06,0.0,0.0,1.0
q-bio/0406015,"Information theory, multivariate dependence, and genetic network
  inference",1.3189329710618589e-06,0.0,0.0,1.0
cond-mat/0508720,Sequence Dependence of Electronic Transport in DNA,1.3189329710618589e-06,0.0,0.0,1.0
cond-mat/0204076,"Dynamic entropies, long-range correlations, and fluctuations in complex
  linear structures",1.3189329710618589e-06,0.0,0.0,4.0
cond-mat/0309157,"Structurally specific thermal fluctuations identify functional sites for
  DNA transcription",1.3189329710618589e-06,0.0,0.0,3.0
physics/0108016,"Self-organizing Approach for Automated Gene Identification in Whole
  Genomes",1.3189329710618589e-06,0.0,0.0,1.0
q-bio/0501004,"Binding properties and evolution of homodimers in protein-protein
  interaction networks",1.3189329710618589e-06,0.0,0.0,1.0
q-bio/0606027,"Conservation rules, their breakdown, and optimality in Caenorhabditis
  sinusoidal locomotion",1.3189329710618589e-06,0.0,0.0,1.0
