source,target
cond-mat/0308339,cond-mat/0404593
q-bio/0405011,cond-mat/0501169
cond-mat/0207711,q-bio/0408010
q-bio/0309013,nlin/0408006
q-bio/0312019,cond-mat/0308251
cond-mat/0308251,q-bio/0405011
cond-mat/0312028,q-bio/0405011
q-bio/0312022,q-bio/0312021
q-bio/0310029,q-bio/0312021
q-bio/0311031,q-bio/0407031
q-bio/0502017,cond-mat/0412443
q-bio/0312021,q-bio/0312022
q-bio/0310029,q-bio/0312022
q-bio/0404002,q-bio/0406006
q-bio/0508027,q-bio/0512041
cond-mat/0003333,cond-mat/0003215
q-bio/0510009,nlin/0511018
cond-mat/0308251,q-bio/0606023
cond-mat/0312366,q-bio/0401024
q-bio/0312012,cond-mat/0512089
q-bio/0502017,cond-mat/0512089
cond-mat/0207711,cond-mat/0303490
q-bio/0309013,nlin/0402006
physics/9901053,physics/0007050
physics/9901052,physics/0007050
q-bio/0312032,physics/0609172
q-bio/0310029,q-bio/0310041
cond-mat/0005235,q-bio/0310041
q-bio/0312032,q-bio/0312009
q-bio/0404029,q-bio/0406040
q-bio/0406006,q-bio/0410003
cond-mat/0005235,q-bio/0410003
cond-mat/0412443,q-bio/0412020
q-bio/0502017,q-bio/0412020
q-bio/0411052,q-bio/0502005
q-bio/0501004,q-bio/0502005
q-bio/0408010,q-bio/0502005
q-bio/0312022,q-bio/0502013
q-bio/0312021,q-bio/0502013
q-bio/0505006,q-bio/0506038
cond-mat/0501169,q-bio/0506038
q-bio/0406049,q-bio/0510022
q-bio/0512041,q-bio/0604005
q-bio/0508027,q-bio/0604005
q-bio/0606036,q-bio/0611070
cond-mat/0009124,q-bio/0612041
q-bio/0601015,q-bio/0701018
q-bio/0412005,q-bio/0701025
cond-mat/0003333,q-bio/0701025
cond-mat/0605020,q-bio/0701025
physics/9708026,q-bio/0701025
q-bio/0311019,q-bio/0701025
q-bio/0401002,q-bio/0701025
cond-mat/0003215,q-bio/0701025
q-bio/0504030,q-bio/0703030
