id,title,pagerank,betweenness,in_degree,out_degree
cond-mat/0505086,Collective Chaos Induced by Structures of Complex Networks,3.229393606028533e-05,3.955859528633472e-06,6.0,2.0
q-bio/0702029,"Graph animals, subgraph sampling and motif search in large networks",2.489817500909067e-05,6.167478536544831e-07,6.0,1.0
q-bio/0503041,"Morphological complex networks: Can individual morphology determine the
  general connectivity and dynamics of networks?",1.656017445778808e-05,2.91766361054897e-06,16.0,2.0
cond-mat/0404593,The shortest path to complex networks,1.6529934134427936e-05,0.0001083482457285,19.0,12.0
q-bio/0701025,Evolution of Canalizing Boolean Networks,1.0985905968009431e-05,0.0,10.0,0.0
nlin/0608028,Universality in Complex Networks: Random Matrix Analysis,1.078339310859252e-05,0.0,2.0,1.0
q-bio/0502005,Cliques and duplication-divergence network growth,8.701130740940533e-06,0.0,8.0,0.0
q-bio/0402017,Discriminative Topological Features Reveal Biological Network Mechanisms,7.0403123732167736e-06,2.789703668500364e-05,7.0,2.0
q-bio/0406039,Modeling of microarray data with zippering,6.98534239360574e-06,7.960731020640288e-06,1.0,4.0
cond-mat/0610023,Some measure theory on stacks of graphs,6.936223577431442e-06,7.960731020640288e-06,6.0,1.0
q-bio/0703053,Global statistical analysis of the protein homology network,6.87835388512957e-06,1.990182755160072e-06,1.0,1.0
q-bio/0502013,"Accelerating, hyper-accelerating, and decelerating probabilistic
  networks",6.5751848245131785e-06,0.0,6.0,0.0
cond-mat/0203167,"Infinite-Order Percolation and Giant Fluctuations in a Protein
  Interaction Network",6.118953176034621e-06,4.9643178053153285e-06,3.0,8.0
cond-mat/0501169,"Towards a Theory of Scale-Free Graphs: Definition, Properties, and
  Implications (Extended Version)",6.056313659559851e-06,1.0115762658074322e-05,4.0,4.0
q-bio/0502007,"Some Properties of the Speciation Model for Food-Web Structure -
  Mechanisms for Degree Distributions and Intervality",5.655144290770314e-06,0.0,1.0,1.0
q-bio/0407031,Dynamics and coding of a biologically-motivated network,4.813778316247126e-06,1.990182755160072e-06,2.0,1.0
cond-mat/0205589,Correlated random networks,4.631655950129107e-06,1.1008618692054262e-05,3.0,8.0
q-bio/0312021,"Inherent size constraints on prokaryote gene networks due to
  ""accelerating"" growth",4.582237593858069e-06,4.524335633767218e-06,5.0,3.0
cond-mat/0304207,Investigation of a Protein Complex Network,4.527116820765776e-06,0.0,2.0,1.0
q-bio/0412035,Counting attractors in synchronously updated random Boolean networks,4.492463227838026e-06,0.0,3.0,0.0
q-bio/0312022,"Failed ""nonaccelerating"" models of prokaryote gene regulatory networks",4.12971795399622e-06,0.0,5.0,2.0
q-bio/0701002,The role of input noise in transcriptional regulation,3.805607658710576e-06,0.0,2.0,0.0
q-bio/0412027,An RNA-centered view of eukaryotic cells,3.760693637525763e-06,0.0,1.0,1.0
physics/0007050,Clustering and Signalling of Cell Receptors,3.62335329328243e-06,0.0,2.0,0.0
q-bio/0410003,Chemical models of genetic toggle switches,3.6053486918775466e-06,0.0,2.0,0.0
q-bio/0506038,Some protein interaction data do not exhibit power law statistics,3.581486868827098e-06,0.0,2.0,0.0
q-bio/0606023,"Subgraph Ensembles and Motif Discovery Using a New Heuristic for Graph
  Isomorphism",3.529016989101264e-06,0.0,2.0,1.0
q-bio/0604005,"Diffusion of transcription factors can drastically enhance the noise in
  gene expression",3.49912997646896e-06,0.0,2.0,0.0
q-bio/0701018,Oscillations in I/O monotone systems under negative feedback,3.3749066596554898e-06,0.0,1.0,0.0
q-bio/0510022,Content based network model with duplication and divergence,3.1564676950366884e-06,0.0,2.0,0.0
q-bio/0411052,Duplication-divergence model of protein interaction network,3.052903680119102e-06,1.990182755160072e-06,1.0,2.0
cond-mat/0308251,Local graph alignment and motif search in biological networks,3.0472482127272877e-06,0.0,2.0,2.0
cond-mat/0512089,Computational core and fixed-point organisation in Boolean networks,2.855213185875573e-06,0.0,2.0,0.0
q-bio/0405011,Coarse-Graining and Self-Dissimilarity of Complex Networks,2.7028834076248736e-06,7.099910746650619e-08,2.0,1.0
cond-mat/0410660,Quantum transport through a DNA wire in a dissipative environment,2.676100638015795e-06,0.0,2.0,3.0
physics/0302032,"Distance, dissimilarity index, and network community structure",2.565201628384005e-06,0.0,1.0,1.0
q-bio/0502040,A new model for the immune clonal networks,2.4711431321721443e-06,0.0,1.0,0.0
q-bio/0611070,"Asymptotic Evolution of Protein-Protein Interaction Networks for General
  Duplication-Divergence Models",2.4711431321721443e-06,0.0,1.0,0.0
physics/0702094,Dynamical hysteresis in multisite protein modification,2.4711431321721443e-06,0.0,1.0,0.0
q-bio/0406040,Michaelis-Menten Dynamics in Complex Heterogeneous Networks,2.4711431321721443e-06,0.0,1.0,0.0
q-bio/0404006,Bifurcation analysis of a model of the budding yeast cell cycle,2.4711431321721443e-06,0.0,1.0,0.0
q-bio/0312033,Specific protein-protein binding in many-component mixtures of proteins,2.4711431321721443e-06,0.0,1.0,0.0
nlin/0511018,The Role of Redundancy in the Robustness of Random Boolean Networks,2.4711431321721443e-06,0.0,1.0,1.0
q-bio/0406006,Sampling rare switching events in biochemical networks,2.4711431321721443e-06,0.0,1.0,1.0
q-bio/0403045,"Clustering under the line graph transformation: Application to reaction
  network",2.4711431321721443e-06,0.0,1.0,1.0
q-bio/0601015,A dichotomy for a class of cyclic delay systems,2.4711431321721443e-06,0.0,1.0,1.0
q-bio/0510002,A p53 Oscillator Model of DNA Break Repair Control,2.4711431321721443e-06,0.0,1.0,3.0
q-bio/0510030,"Genome-wide discovery of modulators of transcriptional interactions in
  human B lymphocytes",2.4711431321721443e-06,0.0,1.0,0.0
q-bio/0703030,Deterministic and Stochastic Simulations of Simple Genetic Circuits,2.4711431321721443e-06,0.0,1.0,0.0
q-bio/0401024,Morphogenesis by coupled regulatory networks,2.4711431321721443e-06,0.0,1.0,1.0
q-bio/0408010,"Inferring Network Mechanisms: The Drosophila melanogaster Protein
  Interaction Network",2.439690714520796e-06,7.4260550565674335e-09,2.0,2.0
q-bio/0412020,The Logic Backbone of a Transcription Network,2.429735359900988e-06,0.0,2.0,0.0
q-bio/0703047,Oscillations and temporal signalling in cells,2.4257049113833638e-06,0.0,1.0,0.0
q-bio/0411033,An Information-Theoretic Approach to Network Modularity,2.3903102790446403e-06,0.0,2.0,0.0
cond-mat/0212306,Scaling in ordered and critical random Boolean networks,2.270159316161916e-06,0.0,2.0,1.0
cond-mat/0302375,Subgraphs in random networks,2.207726309076184e-06,3.371461049666795e-07,5.0,1.0
q-bio/0604006,Graph Theory and Networks in Biology,2.1909092032080005e-06,0.0,2.0,0.0
q-bio/0405021,"Spectral Analysis of Protein-Protein Interactions in Drosophila
  melanogaster",2.106079859437563e-06,0.0,1.0,0.0
q-bio/0612041,Optimal signal processing in small stochastic biochemical networks,2.1011217123199947e-06,0.0,2.0,0.0
q-bio/0310041,"Enhancement of the stability of genetic switches by overlapping upstream
  regulatory domains",1.9334450569873443e-06,0.0,2.0,0.0
q-bio/0512041,"Exact results for noise power spectra in linear biochemical reaction
  networks",1.8950380516170012e-06,0.0,1.0,1.0
q-bio/0410011,"Co-expression of statistically over-represented peptides in proteomes: a
  key to phylogeny ?",1.8950380516170012e-06,0.0,1.0,0.0
q-bio/0603038,"Currency and commodity metabolites: Their identification and relation to
  the modularity of metabolic networks",1.7406598384104268e-06,0.0,1.0,4.0
math/0602139,"Global existence results for complex hyperbolic models of bacterial
  chemotaxis",1.703003024765287e-06,0.0,1.0,0.0
cond-mat/0404054,Fitness for Synchronization of Network Motifs,1.703003024765287e-06,0.0,1.0,0.0
physics/0506133,"Uncovering the overlapping community structure of complex networks in
  nature and society",1.703003024765287e-06,0.0,1.0,0.0
q-bio/0504003,Metabolic Network Modelling: Including Stochastic Effects,1.703003024765287e-06,0.0,1.0,0.0
q-bio/0601001,"Cooperativity, sensitivity and noise in biochemical signaling",1.703003024765287e-06,0.0,1.0,0.0
cond-mat/0412443,Core percolation and onset of complexity in Boolean networks,1.703003024765287e-06,0.0,1.0,2.0
q-bio/0309011,Discovery and analysis of biochemical subnetwork hierarchies,1.6993782473373209e-06,0.0,1.0,0.0
q-bio/0702059,Representing perturbed dynamics in biological network models,1.6940542356067734e-06,0.0,1.0,0.0
cond-mat/0009124,Small Cycles in Small Worlds,1.664269138375876e-06,0.0,2.0,7.0
cond-mat/0207345,Gene networks from DNA microarray data: centrality and lethality,1.6361791823990817e-06,3.2637511973613865e-06,2.0,2.0
cond-mat/0312028,"On the uniform generation of random graphs with prescribed degree
  sequences",1.6294176556909576e-06,1.3684448054274744e-05,2.0,11.0
cond-mat/0308339,Hierarchy Measures in Complex Networks,1.6143235936453534e-06,6.136219994941225e-06,2.0,6.0
physics/0609172,Evolving networks through deletion and duplication,1.60698551133943e-06,0.0,1.0,0.0
physics/0406058,"Generic theory of active polar gels: a paradigm for cytoskeletal
  dynamics",1.60698551133943e-06,0.0,1.0,1.0
cond-mat/0003215,"Topological Evolution of Dynamical Networks: Global Criticality from
  Local Dynamics",1.60698551133943e-06,0.0,1.0,3.0
q-bio/0312009,"Evolution of the Protein Interaction Network of Budding Yeast: Role of
  the Protein Family Compatibility Constraint",1.60698551133943e-06,0.0,1.0,0.0
q-bio/0311031,"Homogeneous and Scalable Gene Expression Regulatory Networks with Random
  Layouts of Switching Parameters",1.561475348673565e-06,3.980365510320144e-06,1.0,1.0
q-bio/0410024,"Offdiagonal Complexity: A computationally quick complexity measure for
  graphs and networks",1.5493750032839157e-06,0.0,1.0,2.0
