source,target
cond-mat/0309092,cond-mat/0408700
q-bio/0310039,q-bio/0405027
cond-mat/0109444,cond-mat/0111546
q-bio/0405027,q-bio/0310039
cond-mat/0111546,cond-mat/0202252
q-bio/0505010,q-bio/0505011
q-bio/0505011,q-bio/0505010
nlin/0309043,nlin/0311047
cond-mat/9603127,physics/0205030
physics/0005043,physics/0205030
physics/0004060,physics/0205030
cond-mat/0202252,cond-mat/0206135
quant-ph/0002014,quant-ph/0006066
cond-mat/9603127,physics/0212110
physics/0004060,physics/0212110
physics/0205030,physics/0212110
nlin/0309043,nlin/0403054
nlin/0311047,nlin/0403054
physics/0212113,q-bio/0505003
physics/0004060,q-bio/0505003
physics/0212110,q-bio/0505003
nlin/0403054,nlin/0502028
nlin/0309043,nlin/0502028
nlin/0311047,nlin/0502028
q-bio/0508013,q-bio/0510003
cs/0410071,cs/0505058
cs/9810012,cs/9811018
cs/9811018,cs/9810012
nlin/0502028,nlin/0511040
nlin/0403054,nlin/0511040
nlin/0311047,nlin/0511040
nlin/0309043,nlin/0511040
cond-mat/0309092,cond-mat/0409095
cond-mat/0302502,cond-mat/0308043
cond-mat/0212601,cond-mat/0302040
cond-mat/0309092,nlin/0406053
cond-mat/9906020,cond-mat/9907387
cond-mat/9603127,physics/0208057
physics/0004060,physics/0208057
physics/0205030,physics/0208057
cond-mat/9603127,physics/0212114
physics/0005043,physics/0212114
physics/0212113,physics/0301014
cs/0308025,q-bio/0311030
nlin/0310033,q-bio/0402045
cond-mat/0309092,q-bio/0402045
q-bio/0310015,q-bio/0404001
quant-ph/0006066,q-bio/0410020
physics/0205030,q-bio/0508044
q-bio/0606041,q-bio/0601003
q-bio/0604019,q-bio/0605006
q-bio/0606027,q-bio/0605027
q-bio/0607002,q-bio/0607021
physics/0212110,q-bio/0611037
q-bio/0505003,q-bio/0612025
q-bio/0601032,q-bio/0612030
physics/0004060,q-bio/0612050
physics/0306063,q-bio/0612050
q-bio/0508032,q-bio/0703002
q-bio/0702013,q-bio/0703017
cond-mat/0608188,cond-mat/0703178
