id,title,pagerank,betweenness,in_degree,out_degree
cs/9811018,P-model Alternative to the T-model,2.641625769192378e-05,0.0,6.0,1.0
cs/9810012,Ultrametric Distance in Syntax,2.4311239297000843e-05,1.990182755160072e-06,6.0,1.0
q-bio/0610037,"Brain, Music and non-Poisson Renewal Processes",2.366187390276618e-05,5.970548265480216e-06,6.0,2.0
cond-mat/0501252,Strength Distribution in Derivative Networks,1.637582086900839e-05,0.0,11.0,0.0
physics/0205030,Thinking about the brain,1.34689317241518e-05,0.0,16.0,5.0
cond-mat/0504025,Point process model of 1/f noise versus a sum of Lorentzians,1.0893747286915562e-05,7.046440502284184e-06,12.0,3.0
cond-mat/0401018,Reinforcing the Resilience of Complex Networks,8.645517393398944e-06,0.0,10.0,0.0
q-bio/0612050,"Neural coding of a natural stimulus ensemble: Uncovering information at
  sub-millisecond resolution",7.337573255669612e-06,0.0,6.0,0.0
q-bio/0612025,Single neuron computation: from dynamical system to feature detector,7.033021752602266e-06,0.0,1.0,0.0
q-bio/0402045,Performance of networks of artificial neurons: The role of clustering,6.855384263647168e-06,0.0,4.0,0.0
q-bio/0605027,A new stimulus approach in the search for biological nonlocality,6.26289940795507e-06,0.0,3.0,0.0
q-bio/0512026,A hypothesis on the selective advantage for sleep,5.746353796014907e-06,0.0,1.0,0.0
q-bio/0505010,"The Dynamics of Image Processing by Feature Maps in the Primary Visual
  Cortex",5.655144290770314e-06,0.0,1.0,1.0
q-bio/0505011,"Receptive Field and Feature Map Formation in the Primary Visual Cortex
  via Hebbian Learning with Inhibitory Feedback",5.655144290770314e-06,0.0,1.0,1.0
nlin/0511040,"Distributed Sources, Accelerated Universe, Consciousness and Quantum
  Entanglement",5.524948763467394e-06,0.0,6.0,1.0
q-bio/0505003,Features and dimensions: Motion estimation in fly vision,5.278849498167516e-06,0.0,3.0,1.0
q-bio/0411009,"Growth-Driven Percolations: The Dynamics of Community Formation in
  Neuronal Systems",5.135019324994562e-06,3.929466436913029e-06,3.0,2.0
nlin/0612053,Synchronized dynamics of cortical neurons with time-delay feedback,5.103221901320919e-06,0.0,3.0,0.0
