id,title,pagerank,betweenness,in_degree,out_degree
physics/0007070,"Predictability, complexity and learning",1.226015183387453e-05,0.0,20.0,10.0
nlin/0608028,Universality in Complex Networks: Random Matrix Analysis,1.078339310859252e-05,0.0,2.0,1.0
cond-mat/0207086,Electrostatic correlations: from Plasma to Biology,7.546366904575498e-06,0.0,8.0,2.0
cond-mat/0210362,Disease Spreading in Structured Scale-Free Networks,6.170735295185516e-06,3.144545332620027e-06,9.0,4.0
cond-mat/0309665,"Topological Origin of the Phase Transition in a Model of DNA
  Denaturation",5.9727717838943165e-06,0.0,6.0,0.0
q-bio/0506010,Mutation model for nucleotide sequences based on crystal basis,5.927773615503002e-06,0.0,4.0,2.0
q-bio/0411019,A simple derivation of the Gompertz law for human mortality,4.504611069009671e-06,0.0,1.0,0.0
quant-ph/0609216,A Quantum Approach to Classical Statistical Mechanics,4.003124334328129e-06,0.0,2.0,1.0
q-bio/0502008,Dissociation in a polymerization model of homochirality,3.170955298694093e-06,0.0,3.0,1.0
q-bio/0510008,"The Tangled nature model with inheritance and constraint: Evolutionary
  ecology restricted by a conserved resource",2.923024895913817e-06,0.0,1.0,2.0
q-bio/0409037,The dissipative brain,2.8235501621128945e-06,0.0,2.0,0.0
q-bio/0411039,Emergence of Complex Dynamics in a Simple Model of Signaling Networks,2.77239764133326e-06,0.0,1.0,0.0
cond-mat/0510650,"Complex networks generated by the Penna bit-string model: Emergence of
  small-world and assortative mixing",2.7421074294303462e-06,0.0,1.0,0.0
q-bio/0611068,Gene expression from polynomial dynamics in the 2-adic information space,2.622076348792676e-06,0.0,3.0,0.0
q-bio/0407001,"Quantum Brain: A Recurrent Quantum Neural Network Model to Describe Eye
  Tracking of Moving Targets",2.598859106311196e-06,0.0,2.0,0.0
q-bio/0611065,"An axiomatic theory for interaction between species in ecology: Gause's
  exclusion conjecture",2.4711431321721443e-06,0.0,1.0,0.0
q-bio/0701016,Short-time dynamics of polypeptides,2.4711431321721443e-06,0.0,1.0,0.0
q-bio/0501001,Elasticities and stabilities: lipid membranes vs cell membranes,2.4711431321721443e-06,0.0,1.0,0.0
physics/0303121,"On physical nature of radiation regulating quantity of cells in
  population",2.4711431321721443e-06,0.0,1.0,0.0
q-bio/0407021,The effect of biodiversity on the Hantavirus epizootic,2.4711431321721443e-06,0.0,1.0,0.0
q-bio/0503036,"On the Genealogy of Populations: Trees, Branches and Offsprings",2.4711431321721443e-06,0.0,1.0,0.0
q-bio/0611020,"Exploring the assortativity-clustering space of a network's degree
  sequence",2.331284125684366e-06,0.0,2.0,0.0
quant-ph/0406161,"Quantum noise induced entanglement and chaos in the dissipative quantum
  model of brain",2.0208099059400334e-06,0.0,1.0,0.0
q-bio/0309009,"Quantum noise, entanglement and chaos in the quantum field theory of
  mind/brain states",2.0208099059400334e-06,1.0409330632377509e-07,1.0,2.0
q-bio/0612022,"A number theoretical observation about the degeneracy of the genetic
  code",1.969157257496847e-06,0.0,1.0,0.0
q-bio/0612030,"Cognitive Maps of Complex Systems Show Hierarchical Structure and
  Scale-Free Properties",1.8950380516170012e-06,0.0,1.0,0.0
q-bio/0601033,Perceptions of Complex Systems Are Governed by Power Laws,1.8950380516170012e-06,0.0,1.0,0.0
q-bio/0603029,"Thermodynamic behavior of a phase transition in a model for sympatric
  speciation",1.8950380516170012e-06,0.0,1.0,0.0
q-bio/0604024,The transposition distance for phylogenetic trees,1.8950380516170012e-06,0.0,1.0,0.0
quant-ph/0412170,"Criteria for quantum coherent transfer of excitons between chromophores
  in a polar solvent",1.7912133782471866e-06,0.0,1.0,2.0
cond-mat/0412443,Core percolation and onset of complexity in Boolean networks,1.703003024765287e-06,0.0,1.0,2.0
q-bio/0511036,"On the discrete Peyrard-Bishop model of DNA: stationary solutions and
  stability",1.703003024765287e-06,0.0,1.0,1.0
cond-mat/0404054,Fitness for Synchronization of Network Motifs,1.703003024765287e-06,0.0,1.0,0.0
q-bio/0501035,Power-law scaling in dimension-to-biomass relationship of fish schools,1.6172899098835133e-06,0.0,1.0,0.0
cond-mat/0609378,"Single-molecule experiments in biological physics: methods and
  applications",1.607833726890716e-06,0.0,2.0,0.0
cond-mat/0310037,Introduction to Statistical Physics outside Physics,1.60698551133943e-06,0.0,1.0,0.0
physics/0508228,Abrupt structural transitions involving functionally optimal networks,1.5407939459664043e-06,0.0,1.0,1.0
nlin/0402006,Updating Schemes in Random Boolean Networks: Do They Really Matter?,1.4835344226490424e-06,0.0,1.0,0.0
q-bio/0403018,The Importance of DNA Repair in Tumor Suppression,1.4826494948284814e-06,0.0,1.0,2.0
q-bio/0505051,"Min-protein oscillations in Escherichia coli with spontaneous formation
  of two-stranded filaments in a three-dimensional stochastic
  reaction-diffusion model",1.3189329710618589e-06,0.0,0.0,1.0
physics/0301072,Autoregulation of the total number of cells in culture,1.3189329710618589e-06,0.0,0.0,1.0
nlin/0010012,Small world effect in an epidemiological model,1.3189329710618589e-06,0.0,0.0,2.0
q-bio/0412006,Mutation model for oligonucleotides fitting a Yule distribution,1.3189329710618589e-06,0.0,0.0,1.0
cond-mat/0301305,Icosahedral packing of RNA viral genomes,1.3189329710618589e-06,0.0,0.0,2.0
q-bio/0506013,Statistical model selection methods applied to biological networks,1.3189329710618589e-06,0.0,0.0,1.0
q-bio/0511037,"Nonlinear brain dynamics as macroscopic manifestation of underlying
  many-body field dynamics",1.3189329710618589e-06,0.0,0.0,1.0
cond-mat/0602562,Epidemic variability in complex networks,1.3189329710618589e-06,0.0,0.0,1.0
physics/0102024,On the Compatibility Between Physics and Intelligent Organisms,1.3189329710618589e-06,0.0,0.0,1.0
q-bio/0505006,"Yeast Protein Interactome Topology Provides Framework for
  Coordinated-Functionality",1.3189329710618589e-06,0.0,0.0,1.0
q-bio/0606038,"Use of the Metropolis algorithm to simulate the dynamics of protein
  chains",1.3189329710618589e-06,0.0,0.0,1.0
q-bio/0410001,1/f Scaling in Heart Rate Requires Antagonistic Autonomic Control,1.3189329710618589e-06,0.0,0.0,1.0
chao-dyn/9901009,Scaling and Intermittency in Animal Behavior,,,,
cond-mat/0309336,"Universality in the merging dynamics of parametric active contours: a
  study in MRI-based lung segmentation",,,,
cond-mat/0309462,Epidemic Incidence in Correlated Complex Networks,,,,
cond-mat/0311350,Pore dynamics of osmotically stressed vesicles,,,,
cond-mat/0402581,Dictionary based methods for information extraction,,,,
cond-mat/0412493,Active transport: A kinetic description based on thermodynamic grounds,,,,
cond-mat/0505704,Renewal processes and fluctuation analysis of molecular motor stepping,,,,
cond-mat/0510820,"Dielectrophoresis of nanoscale dsDNA and humidity effects on its
  electrical conductivity",,,,
cond-mat/0606378,"Complex noise in diffusion-limited reactions of replicating and
  competing species",,,,
cond-mat/0612433,"Measuring the energy landscape roughness and the transition state
  location of biomolecules using single molecule mechanical unfolding
  experiments",,,,
cond-mat/0703129,"Reaction-diffusion processes and metapopulation models in heterogeneous
  networks",,,,
cond-mat/9805044,"Phase Disorder Effects in a Cellular Automaton Model of Epidemic
  Propagation",,,,
cs/0308032,"Evaluation of text data mining for database curation: lessons learned
  from the KDD Challenge Cup",,,,
cs/0505086,"On the Ancestral Compatibility of Two Phylogenetic Trees with Nested
  Taxa",,,,
math/0309255,"Catastrophe Management and Inter-Reserve Distance for Marine Reserve
  Networks",,,,
math/0607466,Global Stabilization of a Class of Partially Known Positive Systems,,,,
nlin/0311032,Mathematical Models of Bipolar Disorder,,,,
physics/0007096,"Re-examination of the ""3/4-law"" of Metabolism",,,,
physics/0011002,A Historical Perspective on Cancer,,,,
physics/0101087,Kinetic model of DNA replication in eukaryotic organisms,,,,
physics/0206030,"Comment on ""Swarming Ring Patterns in Bacterial Colonies Exposed to
  Ultraviolet Radiation""",,,,
physics/0210030,Modeling oscillatory Microtubule--Polymerization,,,,
physics/0504084,Fluctuations in type IV pilus retraction,,,,
physics/0508160,SIR dynamics in structured populations with heterogeneous connectivity,,,,
q-bio/0310035,Why humans die -- an unsolved biological problem,,,,
q-bio/0311001,Mathematical models of haploinsufficiency,,,,
q-bio/0312024,Results and Limitations of the Soliton Theory of DNA Transcription,,,,
q-bio/0401014,"Lattice gas cellular automata model for rippling and aggregation in
  myxobacteria",,,,
q-bio/0401040,Correction algorithm for finite sample statistics,,,,
q-bio/0406018,"Fluctuations of Complex Networks: Electrical Properties of Single
  Protein Nanodevices",,,,
q-bio/0406024,"Projective geometry for human motion, with an application to injury risk",,,,
q-bio/0406026,Phase synchronization in cerebral hemodynamics,,,,
q-bio/0407005,Vaccination pattern affects immunological response,,,,
q-bio/0407027,"The role of M cells and the long QT syndrome in cardiac arrhythmias:
  simulation studies of reentrant excitations using a detailed
  electrophysiological model",,,,
q-bio/0409001,"Mathematics, Biology, and Physics: Interactions and Interdependence",,,,
q-bio/0410005,Human and computer learning: An experimental study,,,,
q-bio/0411012,Graded and Binary Responses in Stochastic Gene Expression,,,,
q-bio/0411013,Noise Characteristics of Feed Forward Loops,,,,
q-bio/0412014,Robust formation of morphogen gradients,,,,
q-bio/0502025,On the role of chemical synapses in coupled neurons with noise,,,,
q-bio/0502036,Morphogen Gradient from a Noisy Source,,,,
q-bio/0503002,"SARS oubreaks in Ontario, Hong Kong and Singapore: the role of diagnosis
  and isolation as a control mechanism",,,,
q-bio/0503006,"The Basic Reproductive Number of Ebola and the Effects of Public Health
  Measures: The Cases of Congo and Uganda",,,,
q-bio/0503010,"Role-similarity based functional prediction in networked systems:
  Application to the yeast proteome",,,,
q-bio/0503013,"Non-Maxwellian velocity distribution and anomalous diffusion of {\it in
  vitro} kidney cells",,,,
q-bio/0503020,"Long-term evolution of an ecosystem with spontaneous periodicity of mass
  extinctions",,,,
q-bio/0504009,Dynamics of conduction blocks in a model of paced cardiac tissue,,,,
q-bio/0505020,The contact network of patients in a regional healthcare system,,,,
q-bio/0505022,Modelization of Thermal Fluctuations in G Protein-Coupled Receptors,,,,
q-bio/0505035,A minimal stochastic model for influenza evolution,,,,
q-bio/0507014,Nonlinear brain dynamics and many-body field dynamics,,,,
q-bio/0507029,"Prediction and predictability of global epidemics: the role of the
  airline transportation network",,,,
q-bio/0507044,A core genetic module : the Mixed Feedback Loop,,,,
q-bio/0508021,"Connectivity and expression in protein networks: Proteins in a complex
  are uniformly expressed",,,,
q-bio/0508024,Reading Sequences of Interspike Intervals in Biological Neural Circuits,,,,
q-bio/0509017,Spiky oscillations in NF-kB signalling,,,,
q-bio/0509022,"A Cognitive Model of an Epistemic Community: Mapping the Dynamics of
  Shallow Lake Ecosystems",,,,
q-bio/0510012,Gene Copy Number and Cell Cycle Arrest,,,,
q-bio/0511011,"Finding the center reliably: robust patterns of developmental gene
  expression",,,,
q-bio/0511025,"Diffusion and Home Range Parameters from Rodent Population Measurements
  in Panama",,,,
q-bio/0511026,"Theory of Home Range Estimation from Mark-Recapture Measurements of
  Animal Populations",,,,
q-bio/0511045,"The use of the GARP genetic algorithm and internet grid computing in the
  Lifemapper world atlas of species biodiversity",,,,
q-bio/0511047,Functional alignment of regulatory networks: A study of temperate phages,,,,
q-bio/0512003,Optimal strategies for fighting persistent bugs,,,,
q-bio/0512016,Modeling stochastic gene expression under repression,,,,
q-bio/0512031,"Egocentric Path Integration Models and their Application to Desert
  Arthropods",,,,
q-bio/0512040,Ambiguous model learning made unambiguous with 1/f priors,,,,
q-bio/0601016,"Pure multiplicative stochastic resonance of anti-tumor model with
  seasonal modulability",,,,
q-bio/0601040,"Mechanochemical coupling of kinesin studied with the neck linker swing
  model",,,,
q-bio/0603002,Mining Mass Spectra: Metric Embeddings and Fast Near Neighbor Search,,,,
q-bio/0603003,Mathematical Model of HIV superinfection dynamics and R5 to X4 switch,,,,
q-bio/0603007,"Compression ratios based on the Universal Similarity Metric still yield
  protein distances far from CATH distances",,,,
q-bio/0603022,"Ecosystems in the Mind: Fuzzy Cognitive Maps of the Kizilirmak Delta
  Wetlands in Turkey",,,,
q-bio/0605024,"Shorelines of islands of tractability: Algorithms for parsimony and
  minimum perfect phylogeny haplotyping problems",,,,
q-bio/0606024,Bistable equilibrium points of mercury body burden,,,,
q-bio/0607005,Mitochondrial Dna Replacement Versus Nuclear Dna Persistence,,,,
q-bio/0608005,"Estimating the Number of Essential Genes in Random Transposon
  Mutagenesis Libraries",,,,
q-bio/0608011,"Cicada's wings as determinant factor for the sound emission: The case of
  \textit{Quesada gigas}",,,,
q-bio/0609011,Morphogen Transport in Epithelia,,,,
q-bio/0610008,"Dynamical Structure Functions for the Estimation of LTI Networks with
  Limited Information",,,,
q-bio/0610039,"Asterias: a parallelized web-based suite for the analysis of expression
  and aCGH data",,,,
q-bio/0611041,Nucleotide Frequencies in Human Genome and Fibonacci Numbers,,,,
q-bio/0611064,"Frequency and phase synchronization of two coupled neurons with channel
  noise",,,,
q-bio/0701031,Lotka-Volterra population model of genetic evolution,,,,
q-bio/0701033,Noise Correlation Induced Synchronization in a Mutualism Ecosystem,,,,
q-bio/0702052,Topological coding in hippocampus,,,,
q-bio/0702055,"Positive Feedback, Stochasticity and Genetic Competence",,,,
quant-ph/9912070,Quantum dissipation and neural net dynamics,,,,
