source,target
q-bio/0512039,q-bio/0508043
q-bio/0402007,math/0407033
q-bio/0402015,math/0407033
math/0411071,math/0411069
cond-mat/9712027,cond-mat/0204117
q-bio/0402015,math/0410604
math/0407033,math/0410604
q-bio/0511009,math/0410604
q-bio/0508043,q-bio/0512039
math/0411069,math/0406216
q-bio/0507040,q-bio/0510008
cond-mat/0204117,cond-mat/0301503
q-bio/0403042,q-bio/0507040
q-bio/0402015,math/0601357
math/0407033,math/0601357
math/0410604,math/0601357
q-bio/0511009,math/0601357
math/0407033,q-bio/0511009
q-bio/0408011,q-bio/0511009
q-bio/0402015,q-bio/0511009
math/0410604,q-bio/0511009
q-bio/0407035,q-bio/0511009
adap-org/9907002,physics/9912012
q-bio/0502007,q-bio/0410030
math/0406216,math/0411071
q-bio/0410030,q-bio/0502007
cond-mat/9712027,q-bio/0501028
q-bio/0409019,q-bio/0501028
physics/0303053,q-bio/0311020
math/0302049,q-bio/0311020
cond-mat/0202432,q-bio/0311020
math/0407033,q-bio/0402007
nlin/0303010,nlin/0306023
q-bio/0403042,q-bio/0502046
cond-mat/9712027,q-bio/0508008
cond-mat/9905066,cond-mat/0508623
cond-mat/9712027,q-bio/0409019
adap-org/9810004,adap-org/9903001
adap-org/9810003,adap-org/9903001
cond-mat/0202432,math/0302049
q-bio/0402014,q-bio/0403040
q-bio/0401037,q-bio/0403040
q-bio/0603010,q-bio/0605001
q-bio/0502046,q-bio/0508025
q-bio/0609013,q-bio/0508025
q-bio/0611023,q-bio/0508025
adap-org/9903001,adap-org/9907002
adap-org/9810004,adap-org/9907002
adap-org/9810003,adap-org/9907002
cond-mat/0607344,q-bio/0610001
cond-mat/9907372,cond-mat/0004072
q-bio/0311035,q-bio/0401006
q-bio/0505017,q-bio/0509032
q-bio/0501028,q-bio/0412027
cond-mat/0308600,cond-mat/0310038
cond-mat/0305277,cond-mat/0310038
q-bio/0502046,q-bio/0609013
q-bio/0508025,q-bio/0609013
q-bio/0608033,q-bio/0611023
q-bio/0502046,q-bio/0611023
q-bio/0508025,q-bio/0611023
q-bio/0402015,q-bio/0407035
q-bio/0402007,q-bio/0407035
q-bio/0512039,cond-mat/0606809
q-bio/0605042,cond-mat/0606809
q-bio/0311020,q-bio/0406041
physics/0303053,q-bio/0406041
math/0601357,math/0702834
cond-mat/0204117,cond-mat/0301372
cond-mat/9712027,cond-mat/0301372
q-bio/0606025,cond-mat/0701130
q-bio/0508008,cond-mat/0701130
cond-mat/9712027,cond-mat/0101170
q-bio/0402007,q-bio/0411047
nlin/0306023,q-bio/0311002
cond-mat/9907372,math/0506099
cond-mat/0202432,math/0402351
q-bio/0406041,q-bio/0505056
physics/0303053,q-bio/0505056
cond-mat/0608108,q-bio/0612021
q-bio/0505056,q-bio/0611018
q-bio/0311020,q-bio/0611018
physics/0303053,q-bio/0611018
math/0302049,q-bio/0611018
