id,title,pagerank,betweenness,in_degree,out_degree
astro-ph/0602092,Do extragalactic cosmic rays induce cycles in fossil diversity?,1.5808809605568053e-05,0.0,7.0,0.0
math/0702368,"Toric ideals of phylogenetic invariants for the general group-based
  model on claw trees $K_{1,n}$",1.3535395446420692e-05,0.0,6.0,0.0
q-bio/0508025,"Self-optimization, community stability, and fluctuations in two
  individual-based models of biological coevolution",1.2648720357828202e-05,0.0,3.0,2.0
q-bio/0701025,Evolution of Canalizing Boolean Networks,1.0985905968009431e-05,0.0,10.0,0.0
q-bio/0702002,Ancestral processes with selection: Branching and Moran models,1.0082916589125576e-05,0.0,4.0,0.0
q-bio/0511009,"The identifiability of tree topology for phylogenetic models, including
  covarion and mixture models",9.869783738819311e-06,1.930752561121069e-06,5.0,4.0
q-bio/0311020,An asymptotic maximum principle for essentially linear evolution models,8.135349315004193e-06,0.0,6.0,4.0
q-bio/0611023,"An individual-based predator-prey model for biological coevolution:
  Fluctuations, stability, and community structure",7.86667294715451e-06,0.0,3.0,1.0
physics/9912012,Dynamic Fitness Landscapes in Molecular Evolution,7.821502457253823e-06,0.0,3.0,3.0
math/0407033,Phylogenetic Algebraic Geometry,7.23425425655091e-06,3.203217335499551e-05,7.0,5.0
physics/0010045,Dynamic fitness landscapes: Expansions for small mutation rates,6.930536386555109e-06,0.0,3.0,0.0
q-bio/0611018,"Mutation, selection, and ancestry in branching models: a variational
  approach",6.86239523172318e-06,0.0,5.0,1.0
q-bio/0509041,Sexual replication in the quasispecies model,6.71856670205093e-06,0.0,5.0,0.0
q-bio/0609013,Complex Behavior in Simple Models of Biological Coevolution,6.714462786044225e-06,0.0,2.0,1.0
q-bio/0703054,A simple stochastic model for the evolution of protein lengths,6.518870666192596e-06,0.0,1.0,0.0
cond-mat/9606069,Spatial organization in cyclic Lotka-Volterra systems,6.387322794242829e-06,0.0,7.0,1.0
cond-mat/0312035,"Fluctuations impact on a pattern-forming model of population dynamics
  with non-local interactions",5.953576064723976e-06,0.0,4.0,0.0
q-bio/0401006,"Self-organized patterns and traffic flow in colonies of organisms: from
  bacteria and social insects to vertebrates",5.952265340212541e-06,7.4260550565674335e-09,2.0,1.0
math/0601357,On phylogenetic trees - a geometer's view,5.798428432399696e-06,1.0886574959341372e-05,4.0,4.0
q-bio/0701032,Desynchronization and sustainability of noisy metapopulation cycles,5.794033157178685e-06,0.0,4.0,0.0
q-bio/0410030,An explanatory model for food-web structure and evolution,5.655144290770314e-06,0.0,1.0,1.0
q-bio/0502007,"Some Properties of the Speciation Model for Food-Web Structure -
  Mechanisms for Degree Distributions and Intervality",5.655144290770314e-06,0.0,1.0,1.0
astro-ph/0601711,Gamma-ray bursts and terrestrial planetary atmospheres,5.438825304404756e-06,0.0,4.0,0.0
math/0410604,Phylogenetic ideals and varieties for the general Markov model,5.306812264770444e-06,1.1799493256577835e-05,4.0,7.0
q-bio/0505056,"Error thresholds in a mutation-selection model with Hopfield-type
  fitness",5.23650054080221e-06,0.0,2.0,1.0
cond-mat/0111323,Human Sexual Contact Network as a Bipartite Graph,5.113562906897532e-06,4.084330281112088e-08,5.0,2.0
q-bio/0510005,Pair Approximation Models for Disease Spread,4.943350509059715e-06,0.0,5.0,0.0
nlin/0105057,Food Web Structure and the Evolution of Ecological Communities,4.913779839230756e-06,0.0,3.0,1.0
cond-mat/0406425,Modelling Selforganization and Innovation Processes in Networks,4.85098277583261e-06,0.0,18.0,0.0
q-bio/0612024,Single-crossover dynamics: finite versus infinite populations,4.750235746183614e-06,0.0,3.0,0.0
