source,target
q-bio/0512039,q-bio/0508043
q-bio/0508043,q-bio/0512039
q-bio/0610057,q-bio/0702027
q-bio/0311039,cs/0312044
q-bio/0702027,q-bio/0610057
q-bio/0505010,q-bio/0505011
q-bio/0505011,q-bio/0505010
q-bio/0311039,cs/0606048
q-bio/0512033,q-bio/0601042
q-bio/0601042,q-bio/0512033
q-bio/0401028,cond-mat/0401434
physics/9911038,physics/0004009
q-bio/0312005,q-bio/0410018
physics/0611252,physics/0611251
q-bio/0606006,physics/0611251
physics/0611251,physics/0611252
q-bio/0606023,cond-mat/0610446
cond-mat/0305351,cond-mat/0308163
cond-mat/0206099,cond-mat/0304702
cond-mat/9911386,cond-mat/0106326
nlin/0410062,nlin/0411063
q-bio/0311039,physics/0405044
q-bio/0312002,q-bio/0312001
physics/0309026,q-bio/0411026
q-bio/0402012,q-bio/0505043
q-bio/0406015,q-bio/0510030
q-bio/0511042,q-bio/0511043
q-bio/0601032,q-bio/0601033
q-bio/0403020,q-bio/0605020
q-bio/0603010,q-bio/0605040
q-bio/0410018,q-bio/0606026
q-bio/0312005,q-bio/0606026
physics/0306063,q-bio/0612050
q-bio/0610057,q-bio/0702007
q-bio/0703001,q-bio/0703032
q-bio/0703053,q-bio/0703054
