id,title,pagerank,betweenness,in_degree,out_degree
cond-mat/0610446,"Link and subgraph likelihoods in random undirected networks with fixed
  and partially fixed degree sequence",2.5328108552484752e-05,2.555794034190541e-07,7.0,1.0
cond-mat/0508614,Fluctuation pressure of a fluid membrane between walls through six loops,2.2985570603437165e-05,0.0,17.0,0.0
nlin/0307015,Methods and Techniques of Complex Systems Science: An Overview,1.8215884515668904e-05,1.9827567001035044e-06,22.0,1.0
physics/0611251,"Realistic boundary conditions for stochastic simulations of
  reaction-diffusion processes",1.6430265910378095e-05,0.0,5.0,1.0
physics/0611252,What is the time scale of random sequential adsorption?,1.2945436959895385e-05,0.0,3.0,1.0
cond-mat/0111172,Zero Temperature Properties of RNA Secondary Structures,1.2776791735726514e-05,1.5271967912557248e-06,4.0,1.0
q-bio/0702049,"The Cyclohedron Test for Finding Periodic Genes in Time Course
  Expression Studies",1.1270091633965842e-05,0.0,5.0,0.0
q-bio/0512033,"Explicit factorization of external coordinates in constrained
  Statistical Mechanics models",1.0828916672836616e-05,0.0,3.0,1.0
q-bio/0601042,"Quantum mechanical calculation of the effects of stiff and rigid
  constraints in the conformational equilibrium of the Alanine dipeptide",1.0828916672836616e-05,0.0,3.0,1.0
cond-mat/0701043,Random matrix analysis of complex networks,1.078339310859252e-05,0.0,2.0,1.0
cond-mat/0508100,"Avoiding unphysical kinetic traps in Monte Carlo simulations of strongly
  attractive particles",1.0375425664182196e-05,0.0,3.0,0.0
q-bio/0402030,A Barrier Penetration Model for DNA Double Strand Separation,8.149099087174581e-06,0.0,5.0,0.0
q-bio/0703036,"Morphological relationship between axon and dendritic arborizations as
  revealed by Minkowski functionals",7.819530957556917e-06,0.0,1.0,0.0
q-bio/0612050,"Neural coding of a natural stimulus ensemble: Uncovering information at
  sub-millisecond resolution",7.337573255669612e-06,0.0,6.0,0.0
physics/0702015,Size reduction of complex networks preserving modularity,7.1630014451197145e-06,0.0,2.0,0.0
q-bio/0703053,Global statistical analysis of the protein homology network,6.87835388512957e-06,1.990182755160072e-06,1.0,1.0
cond-mat/0308360,"Generalized-Ensemble Algorithms: Enhanced Sampling Techniques for Monte
  Carlo and Molecular Dynamics Simulations",6.768537586645667e-06,3.980365510320144e-06,6.0,2.0
q-bio/0504013,PCA and K-Means decipher genome,6.705636886823234e-06,0.0,3.0,0.0
q-bio/0502013,"Accelerating, hyper-accelerating, and decelerating probabilistic
  networks",6.5751848245131785e-06,0.0,6.0,0.0
q-bio/0703054,A simple stochastic model for the evolution of protein lengths,6.518870666192596e-06,0.0,1.0,0.0
cond-mat/0412761,Hierarchical characterization of complex networks,6.2719207890784005e-06,2.593039376388184e-05,12.0,12.0
cond-mat/0312556,"Memory and self-induced shocks in an evolutionary population competing
  for limited resources",6.22958390589562e-06,1.990182755160072e-06,3.0,1.0
cond-mat/0301619,Evolutionary Stability of Ecological Hierarchy,6.120590128688668e-06,0.0,1.0,0.0
q-bio/0505010,"The Dynamics of Image Processing by Feature Maps in the Primary Visual
  Cortex",5.655144290770314e-06,0.0,1.0,1.0
