id,title,pagerank,betweenness,in_degree,out_degree
q-bio/0401042,Mechanisms of pattern formation during T cell adhesion,3.3749066596554898e-06,0.0,1.0,0.0
cond-mat/0512009,"Boundary-bulk interplay of molecular motor traffic flow through a
  compartment",3.0472482127272877e-06,0.0,2.0,0.0
physics/0504051,"Power-law rheology and mechano-sensing in a cytoskeleton model with
  forced protein unfolding",2.923024895913817e-06,0.0,1.0,0.0
physics/0608098,"Traffic of interacting ribosomes on mRNA during protein synthesis:
  effects of chemo-mechanics of individual ribosomes",2.691038341266544e-06,0.0,1.0,0.0
q-bio/0404037,How does the chromatin fiber deal with topological constraints?,2.4894346673033504e-06,0.0,1.0,0.0
q-bio/0605013,A model of hyphal tip growth involving microtubule-based transport,2.4711431321721443e-06,0.0,1.0,0.0
physics/0612054,"Intra-cellular transport by single-headed kinesin KIF1A: effects of
  single-motor mechano-chemistry and steric interactions",2.4711431321721443e-06,0.0,1.0,0.0
cond-mat/0308529,Rheology of Active-Particle Suspensions,2.4711431321721443e-06,0.0,1.0,0.0
q-bio/0502034,"Kinetics of target site localization of a protein on DNA: a stochastic
  approach",2.4711431321721443e-06,0.0,1.0,0.0
q-bio/0511049,"A stochastic model of Min oscillations in Escherichia coli and Min
  protein segregation during cell division",2.4711431321721443e-06,0.0,1.0,0.0
cond-mat/0309387,"Ribosome recycling, diffusion, and mRNA loop formation in translational
  regulation",2.419152571823881e-06,0.0,2.0,0.0
cond-mat/0505490,"Conductance of ion channels and nanopores with charged walls: a toy
  model",1.979109243009905e-06,0.0,2.0,0.0
cond-mat/0604129,Finite-size effects in intracellular microrheology,1.8950380516170012e-06,0.0,1.0,0.0
q-bio/0512041,"Exact results for noise power spectra in linear biochemical reaction
  networks",1.8950380516170012e-06,0.0,1.0,1.0
q-bio/0601001,"Cooperativity, sensitivity and noise in biochemical signaling",1.703003024765287e-06,0.0,1.0,0.0
q-bio/0504003,Metabolic Network Modelling: Including Stochastic Effects,1.703003024765287e-06,0.0,1.0,0.0
q-bio/0508010,First passage times and asymmetry of DNA translocation,1.6173655559692317e-06,0.0,1.0,0.0
physics/0109064,"Alteration of Chemical Concentrations through Discreteness-Induced
  Transitions in Small Autocatalytic Systems",1.5493750032839157e-06,0.0,1.0,0.0
quant-ph/0007023,What can biology bestow to quantum mechanics?,1.3189329710618589e-06,0.0,0.0,1.0
cond-mat/0309683,Membrane fluctuations around inclusions,1.3189329710618589e-06,0.0,0.0,1.0
q-bio/0502024,"Self-organized density patterns of molecular motors in arrays of
  cytoskeletal filaments",1.3189329710618589e-06,0.0,0.0,1.0
cond-mat/0311574,Gating-by-tilt of mechanosensitive membrane channels,1.3189329710618589e-06,0.0,0.0,1.0
q-bio/0505051,"Min-protein oscillations in Escherichia coli with spontaneous formation
  of two-stranded filaments in a three-dimensional stochastic
  reaction-diffusion model",1.3189329710618589e-06,0.0,0.0,1.0
q-bio/0504023,On Myosin II dynamics in the presence of external loads,1.3189329710618589e-06,0.0,0.0,1.0
cond-mat/0307720,Self-organized Pattern Formation in Motor-Microtubule Mixtures,1.3189329710618589e-06,0.0,0.0,2.0
q-bio/0601045,"Thresholds, long delays and stability from generalized allosteric effect
  in protein networks",1.3189329710618589e-06,0.0,0.0,1.0
cond-mat/0502527,"Movements of molecular motors: Ratchets, random walks and traffic
  phenomena",1.3189329710618589e-06,0.0,0.0,1.0
