id,title,pagerank,betweenness,in_degree,out_degree
q-bio/0506019,"Hierarchy, Fractality, Small-World and Resilience of Haversian Bone
  Structure: A Complex Network Study",1.1170658396830089e-05,0.0,4.0,0.0
q-bio/0510044,Long-range dependencies in heart rate signals- revisited,3.62335329328243e-06,0.0,2.0,0.0
q-bio/0507001,Characterizing Polygonality in Biological Structures,3.431182950920907e-06,0.0,2.0,0.0
physics/0310125,"Response of Autonomic Nervous System to Body Positions: Fourier and
  Wavelet Analysis",3.3749066596554898e-06,0.0,1.0,0.0
q-bio/0404001,Towards comparative theoretical neuroanatomy of the cerebral cortex,2.4711431321721443e-06,0.0,1.0,0.0
physics/0008016,Heart Rate Variability: Measures and Models,2.4711431321721443e-06,0.0,1.0,1.0
nlin/0207061,Termination of Reentry in an Inhomogeneous Ring of Model Cardiac Cells,2.4711431321721443e-06,0.0,1.0,0.0
q-bio/0412040,Energetic model of tumor growth,2.4711431321721443e-06,0.0,1.0,0.0
q-bio/0601009,"Adhesion between cells, diffusion of growth factors, and elasticity of
  the AER produce the paddle shape of the chick limb",2.4711431321721443e-06,0.0,1.0,0.0
q-bio/0411048,"Evolutionary dynamics of adult stem cells: Comparison of random and
  immortal strand segregation mechanisms",2.042326787929842e-06,0.0,1.0,0.0
q-bio/0312001,"A continuum treatment of growth in biological tissue: The coupling of
  mass transport and mechanics",1.8950380516170012e-06,0.0,1.0,0.0
q-bio/0506023,"Biological remodelling: Stationary energy, configurational change,
  internal variables and dissipation",1.8950380516170012e-06,0.0,1.0,0.0
q-bio/0412042,The complex channel networks of bone structure,1.6533601125823191e-06,0.0,1.0,1.0
nlin/0107070,Spatiotemporal dynamics of pacing in models of anatomical reentry,1.3189329710618589e-06,0.0,0.0,1.0
q-bio/0312002,Material forces in the context of biotissue remodelling,1.3189329710618589e-06,0.0,0.0,2.0
q-bio/0409032,Intensity Coding in Two-Dimensional Excitable Neural Networks,1.3189329710618589e-06,0.0,0.0,1.0
