source,target
nlin/0101026,cond-mat/0106144
cond-mat/9911492,cond-mat/0106144
cond-mat/0103114,cond-mat/0106144
cond-mat/0107391,cond-mat/0106144
cond-mat/0107066,cond-mat/0106144
cond-mat/9909379,cond-mat/0106144
cond-mat/0011196,cond-mat/0106144
cond-mat/0001393,cond-mat/0106144
cond-mat/0010278,cond-mat/0106144
chao-dyn/9901017,cond-mat/0106144
cond-mat/0102127,cond-mat/0106144
cond-mat/0011195,cond-mat/0106144
cond-mat/0103361,cond-mat/0106144
cond-mat/0102028,cond-mat/0106144
cond-mat/0107267,cond-mat/0106144
cond-mat/0004407,cond-mat/0106144
cond-mat/0107420,cond-mat/0106144
cond-mat/0106507,cond-mat/0106144
cond-mat/0107562,cond-mat/0106144
cond-mat/9904277,cond-mat/9912297
cond-mat/0202298,cond-mat/0107420
cond-mat/9912297,cond-mat/0007015
cond-mat/0106144,cond-mat/0107066
cond-mat/0107420,cond-mat/0107066
cond-mat/0101207,cond-mat/0108323
cond-mat/0101058,cond-mat/0108323
cond-mat/0108308,cond-mat/0108323
cond-mat/9607066,adap-org/9710001
cond-mat/0107066,cond-mat/0107267
cond-mat/0107066,cond-mat/0201433
cond-mat/0207319,cond-mat/0208163
cond-mat/0205260,cond-mat/0208163
cond-mat/0205439,cond-mat/0208163
cond-mat/0205621,cond-mat/0208163
adap-org/9908002,cond-mat/0101409
cond-mat/0004407,cond-mat/0101409
cond-mat/9807394,cond-mat/9903276
cond-mat/9706125,cond-mat/0004169
cond-mat/9910188,cond-mat/0004169
math-ph/9808001,physics/0003037
physics/9801027,physics/0003037
physics/9812041,physics/0003037
physics/0001066,physics/0003037
math-ph/9905017,physics/0003037
cond-mat/0107267,cond-mat/0202298
cond-mat/0106144,cond-mat/0202298
cond-mat/0107420,cond-mat/0202298
cond-mat/9911492,cond-mat/0001393
adap-org/9908002,nlin/0202034
cond-mat/0010132,cond-mat/0101207
cond-mat/0103142,cond-mat/0101207
cond-mat/0007015,cond-mat/0101207
adap-org/9508002,adap-org/9610001
adap-org/9401002,adap-org/9610001
nlin/0009025,nlin/0101026
cond-mat/0304596,cond-mat/0306224
cond-mat/9905306,cond-mat/0105209
adap-org/9808003,adap-org/9911001
adap-org/9811001,adap-org/9911001
patt-sol/9808009,adap-org/9911001
cond-mat/0011195,cond-mat/0102028
cond-mat/0207319,cond-mat/0301149
cond-mat/0208163,cond-mat/0301149
nlin/0002032,nlin/0009025
adap-org/9907010,nlin/0009025
cond-mat/0112463,cond-mat/0203136
cond-mat/0007141,cond-mat/0010132
cond-mat/0007015,cond-mat/0010132
cond-mat/9912297,cond-mat/0010132
cond-mat/0010132,cond-mat/0103142
cond-mat/0101207,cond-mat/0103142
cond-mat/0007015,cond-mat/0103142
cond-mat/9912297,cond-mat/0103142
adap-org/9908002,cond-mat/0305322
cond-mat/0207198,cond-mat/0305322
cond-mat/0007084,cond-mat/0104469
cond-mat/0012021,cond-mat/0102296
adap-org/9808003,adap-org/9811001
cond-mat/0007015,cond-mat/0106110
cond-mat/0010132,cond-mat/0106110
cond-mat/9912297,cond-mat/0106110
cond-mat/9904277,cond-mat/9910188
cond-mat/9701117,cond-mat/9910188
cond-mat/9807394,adap-org/9912005
cond-mat/0007015,cond-mat/0205254
cond-mat/0001023,physics/0212001
cond-mat/9807394,physics/0212001
cond-mat/9807394,cond-mat/0001023
physics/0004044,cond-mat/0207212
cond-mat/0302589,cond-mat/0302514
cond-mat/0112179,cond-mat/0302514
cond-mat/0211236,cond-mat/0302514
cond-mat/0110164,cond-mat/0302514
cond-mat/0205125,cond-mat/0302514
cond-mat/0103142,cond-mat/0302514
cond-mat/0108308,cond-mat/0302514
cond-mat/0007141,cond-mat/0302514
cond-mat/0108323,cond-mat/0302514
cond-mat/0304080,cond-mat/0302514
cond-mat/0212457,cond-mat/0302514
cond-mat/0207122,cond-mat/0302514
cond-mat/0101207,cond-mat/0302514
cond-mat/0211468,cond-mat/0302514
cond-mat/0205260,cond-mat/0205621
cond-mat/0205439,cond-mat/0205621
cond-mat/0201433,cond-mat/0205621
cond-mat/0305587,cond-mat/0307104
cond-mat/0304080,cond-mat/0212457
cond-mat/9610126,cond-mat/9706050
cond-mat/0302514,cond-mat/0304080
cond-mat/0212457,cond-mat/0304080
physics/9801027,math-ph/9808001
physics/9904028,physics/0004039
cond-mat/0107420,cond-mat/0205260
cond-mat/0201433,cond-mat/0205260
cond-mat/0110164,cond-mat/0205125
cond-mat/0108323,cond-mat/0205125
cond-mat/0112179,cond-mat/0205125
physics/9904023,physics/9904028
adap-org/9908002,nlin/0107038
cond-mat/0011196,nlin/0107038
physics/9801027,physics/9812041
physics/0003037,physics/0001066
cond-mat/0110164,cond-mat/0112179
cond-mat/0108308,cond-mat/0112179
cond-mat/0108323,cond-mat/0112179
cond-mat/0307135,cond-mat/0305549
cond-mat/0305549,cond-mat/0307135
cond-mat/0104469,cond-mat/0107112
nlin/0101026,cond-mat/0110350
cond-mat/0111299,cond-mat/0303240
adap-org/9808003,adap-org/9909003
cond-mat/9806313,cond-mat/9907191
quant-ph/0202015,quant-ph/0202016
cond-mat/0111151,quant-ph/0202016
cond-mat/0108447,cond-mat/0111317
cond-mat/9806197,cond-mat/9811127
cond-mat/9801137,cond-mat/9811127
cond-mat/9810285,cond-mat/9811127
cond-mat/0003096,cond-mat/0005150
cond-mat/9909443,cond-mat/9912101
physics/0003037,math-ph/0102022
physics/9801027,math-ph/0102022
physics/0007034,math-ph/0102022
adap-org/9908002,cond-mat/0207352
cond-mat/0207198,cond-mat/0207352
adap-org/9911001,physics/0101002
adap-org/9908002,adap-org/9910003
cond-mat/0101161,cond-mat/0103286
adap-org/9801003,adap-org/9611003
cond-mat/9705020,cond-mat/9708101
cond-mat/9702134,cond-mat/9708101
cond-mat/9912297,cond-mat/0109521
cond-mat/0106110,cond-mat/0109521
cond-mat/0108323,cond-mat/0109521
cond-mat/0010132,cond-mat/0109521
cond-mat/0103142,cond-mat/0109521
cond-mat/0108447,cond-mat/0109521
cond-mat/9706050,cond-mat/9707040
cond-mat/9610126,cond-mat/9707040
cond-mat/0301214,cond-mat/0301371
cond-mat/9606037,cond-mat/9607060
cond-mat/9609178,cond-mat/9607060
adap-org/9401002,adap-org/9708001
adap-org/9508002,adap-org/9708001
adap-org/9610001,adap-org/9708001
cond-mat/0110164,cond-mat/0302589
cond-mat/0205125,cond-mat/0207122
cond-mat/9801137,cond-mat/9901215
cond-mat/9702134,cond-mat/9804036
cond-mat/0107267,cond-mat/0205009
adap-org/9808003,adap-org/9911002
adap-org/9811001,adap-org/9911002
adap-org/9911001,adap-org/9911002
patt-sol/9808009,adap-org/9911002
math-ph/0102022,math-ph/0111006
math/0101051,math/0009223
cs/0104015,math/0106166
cond-mat/0307666,cond-mat/0307667
cond-mat/9912297,cond-mat/0307380
cond-mat/0207545,cond-mat/0305517
physics/0111002,cond-mat/0305230
cond-mat/0304080,cond-mat/0305049
cond-mat/0302514,cond-mat/0305049
cond-mat/0302305,cond-mat/0304231
cond-mat/0302306,cond-mat/0304231
cond-mat/0011195,cond-mat/0303106
