id,title,pagerank,betweenness,in_degree,out_degree
cond-mat/0106144,Evolution of networks,8.310458642176169e-05,0.0006643328842099,135.0,46.0
cond-mat/0302514,Poland-Scheraga models and the DNA denaturation transition,1.8343377194393355e-05,0.0,16.0,3.0
quant-ph/9907009,The importance of quantum decoherence in brain processes,1.438953358328472e-05,9.920160359714877e-06,16.0,9.0
cond-mat/0004407,Random networks created by biological evolution,9.373335874308709e-06,0.0,13.0,5.0
cond-mat/0305049,Bubble dynamics in DNA,9.234691633794632e-06,0.0,3.0,0.0
cond-mat/0210132,Managing catastrophic changes in a collective,8.419459361182768e-06,0.0,3.0,0.0
adap-org/9708004,Symmetry Breaking and Adaptation: Evidence from a Toy Model of a Virus,8.305722970597898e-06,0.0,4.0,0.0
physics/0003037,Crystalizing the genetic code,8.082271815887208e-06,0.0,6.0,5.0
cond-mat/0304080,On the role of mismatches in DNA denaturation,7.250726746920528e-06,0.0,2.0,3.0
cond-mat/9906164,An evolutionary model for simple ecosystems,7.191656188338087e-06,0.0,8.0,0.0
cond-mat/9903390,Thermal Noise Can Facilitate Energy Conversion by Ratchet System?,7.099016873132105e-06,0.0,3.0,0.0
cond-mat/9805061,"Linking Rates of Folding in Lattice Models of Proteins with Underlying
  Thermodynamic Characteristics",6.617996640272177e-06,0.0,1.0,0.0
cond-mat/0009211,Adaptive learning by extremal dynamics and negative feedback,6.542580001780634e-06,0.0,3.0,0.0
cond-mat/0207212,Self-organization and Mechanical Properties of Active Filament Bundles,6.513256238826592e-06,0.0,2.0,1.0
cond-mat/0101409,Biological Evolution and Statistical Physics,6.408849095774855e-06,0.0,6.0,7.0
math-ph/0111006,"Wigner-Eckart Theorem in the crystal and the organisation of the genetic
  code",6.291809208526281e-06,0.0,2.0,0.0
cond-mat/0305549,"Recoverable prevalence in growing scale-free networks and the effective
  immunization",6.170295314652777e-06,0.0,2.0,1.0
cond-mat/0307135,"Mechanisms of recoverable prevalence and extinction of viruses on
  linearly growing scale-free networks",6.170295314652777e-06,0.0,2.0,1.0
cond-mat/9912328,Three-state neural network: from mutual information to the hamiltonian,6.119117400064861e-06,0.0,2.0,0.0
cond-mat/0306610,Systematic identification of statistically significant network measures,5.8624123852448e-06,5.977974320536784e-06,2.0,5.0
physics/0004039,Quasispecies evolution on a fitness landscape with a fluctuating peak,5.791267799676029e-06,0.0,2.0,2.0
cond-mat/9811252,The role of the energy gap in protein folding dynamics,5.785545697284649e-06,0.0,4.0,0.0
cond-mat/0203155,"Comment on "" A simple model for DNA denaturation""",5.73883696579153e-06,0.0,3.0,0.0
physics/0207104,Representative Pathways of Excitation Migration in Photosystem I,5.655144290770314e-06,0.0,1.0,1.0
physics/9912053,Effective interaction between helical bio-molecules,5.411975690850669e-06,0.0,5.0,0.0
cond-mat/0210079,Force-induced unzipping of DNA with long-range correlated sequence,5.178373091780056e-06,0.0,5.0,0.0
cond-mat/0301149,Epidemic spreading in complex networks with degree correlations,4.952287382849558e-06,6.025589478316168e-06,4.0,5.0
cond-mat/9708071,Non-Hermitian Localization and Population Biology,4.937461662070833e-06,0.0010343422379562,8.0,21.0
