source,target
cond-mat/0311235,cond-mat/0301289
cond-mat/0211175,cond-mat/0301289
cond-mat/0211175,cond-mat/0311227
cond-mat/0301289,cond-mat/0311227
cond-mat/0302147,cond-mat/0311227
cond-mat/0208398,cond-mat/0311227
cond-mat/0004256,cond-mat/0001432
cond-mat/0006038,cond-mat/0311235
cond-mat/0101068,cond-mat/0311235
cond-mat/0310061,cond-mat/0311235
cond-mat/0311227,cond-mat/0311235
cond-mat/0310544,cond-mat/0311235
cond-mat/0311113,cond-mat/0311235
cond-mat/0208398,cond-mat/0311235
cond-mat/0311127,cond-mat/0311235
cond-mat/0005416,cond-mat/0311235
cond-mat/0302270,cond-mat/0311235
cond-mat/0202388,cond-mat/0311235
cond-mat/0209373,cond-mat/0311235
cond-mat/0306579,cond-mat/0311235
cond-mat/0301289,cond-mat/0311235
cond-mat/0302147,cond-mat/0311235
cond-mat/0011373,cond-mat/0311235
cond-mat/0307270,cond-mat/0311235
cond-mat/0311227,cond-mat/0407770
cond-mat/0006038,nlin/0008018
cond-mat/9702085,nlin/0008018
cond-mat/9702082,nlin/0008018
cond-mat/9708018,nlin/0008018
cond-mat/0103170,cond-mat/0307341
cond-mat/0011373,cond-mat/0307341
cond-mat/0001432,cond-mat/0307341
cond-mat/0011373,cond-mat/0202388
cond-mat/0001432,cond-mat/0004256
cond-mat/0208398,cond-mat/0302147
cond-mat/0301289,cond-mat/0302147
cond-mat/0211175,cond-mat/0302147
cond-mat/0006038,physics/0508178
cond-mat/0103544,physics/0508178
cond-mat/0310061,physics/0508178
cond-mat/0409145,physics/0508178
physics/0506066,physics/0508178
cond-mat/0011373,physics/0508178
cond-mat/0403070,physics/0508178
cond-mat/0208398,physics/0508178
cond-mat/0301289,cond-mat/0310343
cond-mat/0202388,cond-mat/0205520
cond-mat/0011373,cond-mat/0205520
cond-mat/0203399,cond-mat/0205520
cond-mat/0001432,cond-mat/0008305
cond-mat/0208398,cond-mat/0307270
cond-mat/0209373,cond-mat/0307270
cond-mat/0310544,physics/0603141
cond-mat/0207181,cond-mat/0211058
cond-mat/0311235,cond-mat/0312167
cond-mat/0301289,cond-mat/0312167
cond-mat/0310343,cond-mat/0312167
cond-mat/0004256,physics/0504153
cond-mat/0407770,physics/0504153
cond-mat/0310343,physics/0504153
physics/0508178,physics/0511220
cond-mat/0011373,cond-mat/0203399
cond-mat/0008305,cond-mat/0103544
cond-mat/0103170,cond-mat/0103544
cond-mat/0011373,cond-mat/0103544
cond-mat/0008305,cond-mat/0302270
cond-mat/0103544,cond-mat/0302270
cond-mat/0211175,cond-mat/0302270
cond-mat/0001432,cond-mat/0302270
cond-mat/0101068,nlin/0109015
physics/0601176,physics/0607258
physics/0603141,physics/0607258
cond-mat/0205520,cond-mat/0109203
cond-mat/0202388,physics/0507022
cond-mat/0307341,physics/0507022
cond-mat/0310544,physics/0507022
cond-mat/0401053,physics/0507022
cond-mat/0408067,physics/0507022
cond-mat/0211175,cond-mat/0401053
cond-mat/0202388,cond-mat/0401053
cond-mat/0307341,cond-mat/0401053
cond-mat/0310061,cond-mat/0401053
cond-mat/0310544,cond-mat/0401053
cond-mat/0310061,cond-mat/0409145
cond-mat/0403070,cond-mat/0409145
physics/0301023,physics/0303028
cond-mat/0202388,cond-mat/0406385
cond-mat/0307341,cond-mat/0406385
cond-mat/0310544,cond-mat/0406385
cond-mat/0401053,cond-mat/0406385
cond-mat/0408067,cond-mat/0406385
cond-mat/0006038,physics/0506066
cond-mat/0310061,physics/0506066
cond-mat/0409145,physics/0506066
cond-mat/0011373,physics/0506066
cond-mat/0403070,physics/0506066
cond-mat/0208398,physics/0506066
cond-mat/0310544,physics/0507136
cond-mat/0502166,physics/0507136
cond-mat/0407770,physics/0507136
cond-mat/0310061,physics/0508206
cond-mat/0403051,physics/0508206
cond-mat/0312167,physics/0507151
physics/0507151,physics/0509172
cond-mat/0502166,physics/0509172
cond-mat/0306579,cond-mat/0311127
cond-mat/0209373,cond-mat/0311127
cond-mat/0310544,cond-mat/0311127
physics/0301023,cond-mat/0306496
physics/0303028,cond-mat/0306496
cond-mat/0502166,physics/0506028
cond-mat/0310343,physics/0506028
physics/0504153,physics/0506028
cond-mat/0407770,physics/0506028
cond-mat/0502166,physics/0504161
cond-mat/0310544,physics/0504161
physics/0511220,physics/0607131
cond-mat/0403045,cond-mat/0409329
cond-mat/0307341,cond-mat/0409329
cond-mat/0311585,cond-mat/0403143
cond-mat/0402075,cond-mat/0403143
cond-mat/0309533,cond-mat/0402049
cond-mat/0301289,cond-mat/0304324
cond-mat/0302147,cond-mat/0304324
cond-mat/0208398,cond-mat/0304324
physics/0512124,math/0605461
cond-mat/0310061,math/0605461
nlin/0411006,nlin/0604061
cond-mat/0306579,nlin/0611001
cond-mat/0502166,nlin/0611001
cond-mat/0209373,nlin/0611001
cond-mat/0302147,nlin/0611001
nlin/0507054,nlin/0701016
cond-mat/0502166,physics/0504197
cond-mat/0202388,physics/0504217
cond-mat/0307341,physics/0504217
cond-mat/0311227,physics/0504217
cond-mat/0310544,physics/0504217
cond-mat/0502166,physics/0504217
cond-mat/0408067,physics/0505157
cond-mat/0306579,physics/0505157
cond-mat/0209373,physics/0505157
cond-mat/0310544,physics/0505157
physics/0303028,physics/0506027
cond-mat/0301289,physics/0507149
cond-mat/0302147,physics/0507149
cond-mat/0302270,physics/0507149
cond-mat/0407770,physics/0507162
cond-mat/0306579,physics/0603076
cond-mat/0209373,physics/0603076
physics/0509172,physics/0604161
physics/0603141,physics/0604161
cond-mat/0103544,physics/0607217
physics/0508178,physics/0607217
physics/0511220,physics/0607217
cond-mat/0310061,physics/0607217
physics/0506066,physics/0607217
cond-mat/0208398,physics/0607217
physics/0607131,physics/0607217
cond-mat/0310343,physics/0608174
physics/0504153,physics/0608174
physics/0607258,physics/0609069
physics/0603166,physics/0609100
cond-mat/0310343,physics/0611245
cond-mat/0202388,physics/0612231
