id,title,pagerank,betweenness,in_degree,out_degree
cond-mat/0311235,"Inelastically scattering particles and wealth distribution in an open
  economy",1.565502104796302e-05,8.085613237960267e-05,25.0,5.0
physics/0607217,"The uniqueness of the profits distribution function in the middle scale
  region",1.3123674908980068e-05,0.0,7.0,0.0
physics/0609245,Quantum Econophysics,1.1427863345694171e-05,0.0,8.0,0.0
physics/0508206,The Network of Inter-Regional Direct Investment Stocks across Europe,9.851455966251477e-06,6.851419843856858e-08,6.0,1.0
physics/0502081,Statistical Properties of Business Firms Structure and Growth,9.054671925036088e-06,0.0,1.0,0.0
cond-mat/0205520,"Empirical nonextensive laws for the county distribution of total
  personal income and gross domestic product",8.59765222846111e-06,0.000222277384476,5.0,5.0
physics/0604161,Models of wealth distributions: a perspective,8.448796838731901e-06,0.0,3.0,0.0
cond-mat/0307341,"Applications of physics to economics and finance: Money, income, wealth,
  and the stock market",8.124456366332605e-06,1.0987397932541553e-05,8.0,9.0
physics/0508178,Derivation of the distribution from extended Gibrat's law,7.787363615050725e-06,4.968894485766858e-06,9.0,2.0
nlin/0008018,Models for the size distribution of businesses in a price driven market,7.343866288901044e-06,5.970548265480216e-06,7.0,1.0
physics/0509172,Role of Selective Interaction in Wealth Distribution,6.63619463550763e-06,1.9976088102166394e-06,5.0,1.0
cond-mat/0403143,"The durations of recession and prosperity: does their distribution
  follow a power or an exponential law?",6.633456443358196e-06,0.0,4.0,0.0
cond-mat/0403713,"""Stiff"" Field Theory of Interest Rates and Psychological Future Time",6.39357266176763e-06,0.0,3.0,0.0
cond-mat/0103544,"Exponential and power-law probability distributions of wealth and income
  in the United Kingdom and the United States",6.310443457021348e-06,4.0075154322049865e-06,4.0,3.0
cond-mat/0502166,Evidence for Power-law tail of the Wealth Distribution in India,6.289526464496209e-06,6.7844934070580975e-06,1.0,9.0
cond-mat/0203399,A New Approach to Personal Income Distribution,6.05607796199102e-06,4.5526880206375225e-06,7.0,1.0
cond-mat/0302270,Research in Econophysics,5.5659173650957085e-06,2.0673293407590938e-06,6.0,4.0
cond-mat/0306496,"Evidence of Fueling of the 2000 New Economy Bubble by Foreign Capital
  Inflow: Implications for the Future of the US Economy and its Stock Market",5.317700437847686e-06,0.0,6.0,1.0
physics/0511220,"Annual change of Pareto index dynamically deduced from the law of
  detailed quasi-balance",4.938619275554862e-06,1.990182755160072e-06,1.0,2.0
cond-mat/0312167,Gibbs versus non-Gibbs distributions in money dynamics,4.866436450411802e-06,5.84649805892214e-06,3.0,2.0
physics/0507022,"Applications of physics to finance and economics: returns, trading
  activity and income",4.450394706731836e-06,3.980365510320144e-06,6.0,1.0
physics/0506066,Pareto index induced from the scale of companies,4.283486560992974e-06,9.88528975446714e-07,7.0,2.0
cond-mat/0301289,Pareto Law in a Kinetic Model of Market with Random Saving Propensity,4.262028028153754e-06,6.506614659993676e-05,2.0,9.0
physics/0606224,Of Songs and Men: a Model for Multiple Choice with Herding,4.146132104200408e-06,0.0,2.0,0.0
physics/0504217,"Pareto's Law of Income Distribution: Evidence for Germany, the United
  Kingdom, and the United States",4.001414057273319e-06,0.0,6.0,0.0
physics/0609069,Kinetic market models with single commodity having price fluctuations,3.908225481651263e-06,0.0,1.0,0.0
math/0412429,On a kinetic model for a simple market economy,3.836753707244982e-06,0.0,2.0,0.0
cond-mat/0406385,"Temporal evolution of the ""thermal"" and ""superthermal"" income classes in
  the USA during 1983-2001",3.830732006020302e-06,8.168660562224176e-08,5.0,1.0
physics/0507151,"Power-Law Distributions in Circulating Money: Effect of Preferential
  Behavior",3.81698316319236e-06,3.856315303762069e-06,1.0,1.0
physics/0303028,2000-2003 Real Estate Bubble in the UK but not in the USA,3.802328882837763e-06,7.4260550565674335e-09,5.0,2.0
physics/0506028,"Influence of saving propensity on the power law tail of wealth
  distribution",3.7305682477361953e-06,1.88351524640786e-06,5.0,1.0
cond-mat/0109203,Risk aversion in economic transactions,3.58748273049296e-06,1.8667804589544163e-05,3.0,3.0
physics/0607131,Dynamical change of Pareto index in Japanese land prices,3.5667129315488342e-06,0.0,1.0,1.0
cond-mat/0409329,"An analytic treatment of the Gibbs-Pareto behavior in wealth
  distribution",3.51653178801432e-06,0.0,2.0,0.0
cond-mat/0011373,Universal Structure of the Personal Income Distribution,3.37231803931208e-06,1.845034316712744e-05,2.0,9.0
physics/0506027,Is There a Real-Estate Bubble in the US?,3.35375216923556e-06,0.0,3.0,0.0
physics/0507149,Effects of Saving and Spending Patterns on Holding Time Distribution,3.3445489558695057e-06,0.0,3.0,0.0
physics/0507101,Production networks and failure avalanches,3.2582290085600736e-06,1.9216685567215035e-06,5.0,1.0
cond-mat/0103170,"Finite market size as a source of extreme wealth inequality and market
  instability",3.195992992301224e-06,9.389244208033848e-06,2.0,2.0
cond-mat/0304324,"Stochastic Maps, Wealth Distribution in Random Asset Exchange Models and
  the Marginal Utility of Relative Wealth",3.114013153292793e-06,0.0,5.0,0.0
physics/0504153,"Kinetic theory models for the distribution of wealth: power law from
  overlap of exponentials",3.0825520792653456e-06,2.0050348652732067e-06,4.0,3.0
physics/0607258,Ideal-gas like market models with savings: quenched and annealed cases,3.0795254815659784e-06,0.0,2.0,1.0
cond-mat/0402075,A (reactive) lattice-gas approach to economic cycles,2.8871038166358826e-06,1.990182755160072e-06,2.0,1.0
cond-mat/0401053,The Social Architecture of Capitalism,2.88181781780884e-06,5.569541292425575e-08,6.0,2.0
cond-mat/0311227,Money in Gas-Like Markets: Gibbs and Pareto Laws,2.827356155945019e-06,3.3107879484158365e-05,5.0,3.0
nlin/0701014,"Nonlinear Dynamical Model of Regime Switching Between Conventions and
  Business Cycles",2.7402679238045835e-06,0.0,1.0,0.0
physics/0507136,Ideal-Gas Like Markets: Effect of Savings,2.7098480663315346e-06,1.990182755160072e-06,4.0,1.0
nlin/0611001,"The unfair consequences of equal opportunities: comparing exchange
  models of wealth distribution",2.698356595759543e-06,0.0,4.0,0.0
physics/0611245,Basic kinetic wealth-exchange models: common features and open problems,2.693638173053408e-06,0.0,2.0,0.0
math/0605461,On Stable Pareto Laws in a Hierarchical Model of Economy,2.586364148283173e-06,0.0,2.0,0.0
nlin/0701016,A model of coupled maps with Pareto behavior,2.573941816601826e-06,0.0,2.0,0.0
cond-mat/0403563,"Bubble, Critical Zone and the Crash of Royal Ahold",2.5299906973029163e-06,0.0,4.0,0.0
cond-mat/0302147,Ideal Gas-Like Distributions in Economics: Effects of Saving Propensity,2.51699521655843e-06,8.632742048469584e-06,4.0,6.0
cond-mat/0001432,Statistical mechanics of money,2.49405349311297e-06,1.4480807360306494e-07,2.0,4.0
cond-mat/0110201,Stability of money: Phase transitions in an Ising economy,2.4711431321721443e-06,0.0,1.0,0.0
cond-mat/0402049,Statistical mechanics analysis of the equilibria of linear economies,2.4711431321721443e-06,0.0,1.0,0.0
physics/0609100,Fairness State with Plastic Preferences,2.4711431321721443e-06,0.0,1.0,0.0
physics/0507098,Ab initio yield curve dynamics,2.4711431321721443e-06,0.0,1.0,0.0
physics/0607287,Response of Firm Agent Network to Exogenous Shock,2.4711431321721443e-06,0.0,1.0,0.0
cond-mat/9909131,"Patterns of consumption in socio-economic models with heterogeneous
  interacting agents",2.4711431321721443e-06,0.0,1.0,0.0
nlin/0604061,"Profit Maximization, Industry Structure, and Competition: A critique of
  neoclassical theory",2.4711431321721443e-06,0.0,1.0,0.0
physics/0608174,Relaxation in statistical many-agent economy models,2.421953878260111e-06,0.0,2.0,0.0
physics/0301023,"Renormalization Group Analysis of the 2000-2002 anti-bubble in the US
  S&P 500 index: Explanation of the hierarchy of 5 crashes and Prediction",2.352464874054332e-06,1.980776418755086e-06,2.0,5.0
cond-mat/0001353,"""Thermometers"" of Speculative Frenzy",2.1400132661500946e-06,0.0,2.0,0.0
cond-mat/0407770,Dynamics of Money and Income Distributions,2.0778360655252694e-06,3.10484337127815e-05,1.0,7.0
physics/0505157,Economic exchanges in a stratified society: End of the middle class?,2.0541527881512792e-06,0.0,4.0,0.0
physics/0504161,"Detailed simulation results for some wealth distribution models in
  Econophysics",2.0478193230927743e-06,2.3723631523305623e-08,2.0,1.0
physics/0504197,"The Rich Are Different!: Pareto Law from asymmetric interactions in
  asset exchange models",1.9655185972991823e-06,0.0,1.0,0.0
cond-mat/0409145,"Pareto law and Pareto index in the income distribution of Japanese
  companies",1.9083577346516182e-06,0.0,2.0,2.0
math/0502105,Properties of the wealth process in a market microstructure model,1.8950380516170012e-06,0.0,1.0,1.0
cond-mat/0211058,How effective is advertising in duopoly markets?,1.8950380516170012e-06,0.0,1.0,1.0
cond-mat/0403167,Contagion Flow Through Banking Networks,1.877137628538196e-06,0.0,1.0,0.0
cond-mat/0004256,"Statistical mechanics of money: How saving propensity affects its
  distribution",1.864498904878495e-06,2.9704220226269734e-08,1.0,2.0
cond-mat/0008305,Evidence for the exponential distribution of income in the USA,1.864498904878495e-06,1.4852110113134864e-08,1.0,3.0
cond-mat/0310343,A distribution function analysis of wealth distribution,1.8448726225774303e-06,1.1726402122236172e-05,1.0,6.0
cond-mat/0311127,Correlation between Risk Aversion and Wealth distribution,1.823710755929222e-06,0.0,3.0,1.0
nlin/0109015,Wealth redistribution with finite resources,1.814369917059809e-06,1.990182755160072e-06,1.0,1.0
physics/0504121,How the rich get richer,1.8031450657173e-06,0.0,1.0,0.0
physics/0701030,Interplay between topology and dynamics in the World Trade Web,1.7496162385484189e-06,0.0,1.0,0.0
cond-mat/0403045,An out-of-equilibrium model of the distributions of wealth,1.7496162385484189e-06,1.85969691108398e-06,1.0,1.0
cond-mat/0403070,"Relations between a typical scale and averages in the breaking of
  fractal distribution",1.7496162385484189e-06,2.152894536399517e-06,1.0,3.0
physics/0502066,Structure and Evolution of the World Trade Network,1.7496162385484189e-06,1.5921462041280577e-05,1.0,1.0
cond-mat/0402466,Wealth Dynamics on Complex Networks,1.7496162385484189e-06,7.4260550565674335e-09,1.0,1.0
cond-mat/0005416,"Market Ecology, Pareto Wealth Distribution and Leptokurtic Returns in
  Microscopic Simulation of the LLS Stock Market Model",1.7462187232795528e-06,0.0,2.0,5.0
physics/0603076,"Living in an Irrational Society: Wealth Distribution with Correlations
  between Risk and Expected Profits",1.74141003013563e-06,0.0,2.0,0.0
cond-mat/0307270,The mean-field approximation model of company's income growth,1.6549942680523587e-06,0.0,2.0,2.0
