source,target
cond-mat/9710197,hep-th/9712034
hep-th/9710148,hep-th/9712034
cond-mat/9812318,cond-mat/0110506
cond-mat/9801321,cond-mat/0110506
cond-mat/9812318,cond-mat/0005319
cond-mat/9809199,cond-mat/0005319
hep-th/9712034,cond-mat/9902046
hep-th/9710148,cond-mat/9902046
cond-mat/9807066,cond-mat/9902047
cond-mat/9801321,cond-mat/9809199
cond-mat/0305062,cond-mat/0401308
cond-mat/9807397,cond-mat/9906196
cond-mat/9812318,cond-mat/9906196
cond-mat/9902046,cond-mat/9906196
cond-mat/9902047,cond-mat/9906196
cond-mat/9902046,cond-mat/0502029
cond-mat/9902047,cond-mat/0502029
cond-mat/9801321,cond-mat/0408292
cond-mat/0005319,cond-mat/0407321
cond-mat/0305062,cond-mat/0402239
cond-mat/0401308,cond-mat/0402239
cond-mat/0305062,cond-mat/0402240
cond-mat/0401308,cond-mat/0402240
math/0102080,math/0311280
math/0012072,math/0311280
cond-mat/0110506,cond-mat/0206457
cond-mat/9710197,cond-mat/0202143
physics/0001048,cond-mat/0202143
cond-mat/0005319,cond-mat/0202143
math/0509139,math/0603316
cond-mat/9810257,cond-mat/9910212
hep-th/9710148,cond-mat/9902045
hep-th/9710148,cond-mat/9811197
cond-mat/0110506,physics/0503126
hep-th/9712034,cond-mat/9804045
hep-th/9710148,cond-mat/9804045
