source,target
cond-mat/9705075,cond-mat/9712318
cond-mat/0206047,cond-mat/0210509
cond-mat/0209065,cond-mat/0210509
cond-mat/0203166,cond-mat/0210509
cond-mat/0204626,cond-mat/0210509
cond-mat/9705075,cond-mat/9705087
cond-mat/9710336,cond-mat/9804111
cond-mat/9802234,cond-mat/9804111
cond-mat/9803059,cond-mat/9804111
cond-mat/9705087,cond-mat/9808240
cond-mat/9712005,cond-mat/9808240
cond-mat/9804111,cond-mat/9808240
cond-mat/9712164,cond-mat/9808240
cond-mat/9903334,cond-mat/9905305
cond-mat/9810232,cond-mat/9905305
cond-mat/9705075,cond-mat/9905305
cond-mat/9903369,cond-mat/9905305
cond-mat/0202203,cond-mat/0203046
cond-mat/0209103,cond-mat/0203046
cond-mat/0202527,cond-mat/0203046
cond-mat/0209685,cond-mat/0111257
cond-mat/0202527,cond-mat/0302095
cond-mat/0111257,cond-mat/0204626
cond-mat/9712318,cond-mat/9909439
cond-mat/9901268,cond-mat/9909439
cond-mat/9708012,cond-mat/0004179
cond-mat/0401225,cond-mat/0402185
cond-mat/0302095,cond-mat/0402185
cond-mat/0011145,cond-mat/0108023
cond-mat/9911168,cond-mat/0108023
cond-mat/0006065,cond-mat/0108023
cond-mat/0006034,cond-mat/0108023
cond-mat/0002438,cond-mat/0108023
cond-mat/0001268,cond-mat/0108023
physics/0508203,physics/0508156
cond-mat/9705075,cond-mat/9903369
cond-mat/9810232,cond-mat/9903369
cond-mat/9711008,cond-mat/9901225
cond-mat/9901035,cond-mat/9901268
cond-mat/9712318,cond-mat/9912051
cond-mat/0209103,physics/0305089
cond-mat/0211162,physics/0305089
cond-mat/0203046,physics/0305089
cond-mat/0208240,physics/0305089
cond-mat/0112484,physics/0305089
cond-mat/0203166,physics/0305089
cond-mat/0208464,physics/0305089
cond-mat/9903369,cond-mat/9903334
cond-mat/9810232,cond-mat/9903334
cond-mat/9705075,cond-mat/9708143
cond-mat/0409375,cond-mat/0412526
cond-mat/0401055,cond-mat/0501292
cond-mat/0412526,cond-mat/0501292
cond-mat/0403767,cond-mat/0501292
cond-mat/9905169,cond-mat/0501292
cond-mat/0308013,cond-mat/0501292
cond-mat/0312121,cond-mat/0403767
cond-mat/0204626,cond-mat/0403767
cond-mat/9905305,cond-mat/9907161
cond-mat/0210509,cond-mat/0212010
cond-mat/0111257,cond-mat/0209685
cond-mat/0004001,cond-mat/0004263
cond-mat/9903203,cond-mat/0004263
cond-mat/0205531,cond-mat/0209065
cond-mat/0210509,cond-mat/0304601
cond-mat/9710336,cond-mat/9712005
cond-mat/9708012,cond-mat/9712005
cond-mat/9705075,cond-mat/9712005
cond-mat/0008113,cond-mat/0011088
cond-mat/0204626,cond-mat/0206047
cond-mat/0001120,cond-mat/0007385
cond-mat/9910433,cond-mat/0007385
cond-mat/0112484,cond-mat/0209103
cond-mat/0401055,physics/0507073
cond-mat/0412526,physics/0507073
cond-mat/0403767,physics/0507073
cond-mat/9901225,cond-mat/0003025
cond-mat/9905169,cond-mat/0003025
cond-mat/0402185,cond-mat/0401225
cond-mat/0010112,cond-mat/0102305
cond-mat/9910141,cond-mat/0102305
cond-mat/0008026,cond-mat/0102423
cond-mat/0204295,cond-mat/0205531
cond-mat/9712005,cond-mat/9901035
cond-mat/9909302,cond-mat/0002438
cond-mat/0011488,cond-mat/0102402
cond-mat/0308017,cond-mat/0501261
cond-mat/9802256,cond-mat/9902283
cond-mat/0102305,cond-mat/0010112
cond-mat/9909439,cond-mat/0010112
cond-mat/9910141,cond-mat/0010112
cond-mat/9903334,cond-mat/0006065
cond-mat/9909302,cond-mat/0006065
