id,title,pagerank,betweenness,in_degree,out_degree
physics/0702035,"Endogenous and exogenous dynamics in the fluctuations of capital fluxes:
  An empirical analysis of the Chinese stock market",2.079731735103131e-05,0.0,8.0,0.0
cond-mat/0409179,"On distribution of number of trades in different time windows in the
  stock market",1.8919052887321655e-05,0.0,15.0,0.0
physics/0611147,Networks of companies and branches in Poland,1.3263990084013435e-05,0.0,2.0,0.0
physics/0612170,Volatility Dynamics of Wavelet-Filtered Stock Prices,1.1720169139709936e-05,0.0,7.0,0.0
cond-mat/0312149,Antibubble and Prediction of China's stock market and Real-Estate,1.0359762460106902e-05,0.0,5.0,0.0
math/0605421,Imbalance attractors for a strategic model of market microstructure,1.0211252336982677e-05,0.0,5.0,0.0
physics/0503024,"Power-law distributions in economics: a nonextensive statistical
  approach",9.72785936069951e-06,9.048773108722806e-06,8.0,2.0
cond-mat/0403469,On non-markovian nature of stock trading,9.177813998616086e-06,0.0,10.0,1.0
physics/0701158,"Market Mill Dependence Pattern in the Stock Market: Modeling of
  Predictability and Asymmetry via Multi-Component Conditional Distribution",9.028313784350022e-06,0.0,5.0,0.0
physics/0609209,Boltzmann Distribution and Temperature of Stock Markets,8.877301494910126e-06,0.0,3.0,0.0
physics/0701156,Structurally dynamic spin market networks,8.85090144726908e-06,0.0,2.0,0.0
cond-mat/0402389,An analysis of Cross-correlations in South African Market data,8.576389794101851e-06,0.0,9.0,0.0
cond-mat/0403624,"On anomalous distributions in intra-day financial time series and
  Non-extensive Statistical Mechanics",8.283595128720137e-06,0.0,2.0,0.0
physics/0305089,"Empirical Distributions of Log-Returns: between the Stretched
  Exponential and the Power Law?",8.186970730309757e-06,0.0,9.0,4.0
cond-mat/0111257,"Power law relaxation in a complex system: Omori law after a financial
  market crash",7.880966336530496e-06,0.0001098406512514,2.0,4.0
cond-mat/0007385,Scaling and Multi-scaling in Financial Markets,7.538513450361774e-06,2.9704220226269734e-08,8.0,1.0
cond-mat/0309404,"Langevin processes, agent models and socio-economic systems",7.322811490226784e-06,1.990182755160072e-06,7.0,1.0
cond-mat/0312357,"Effects of Randomness on Power Law Tails in Multiplicatively Interacting
  Stochastic Processes",7.036787139190186e-06,0.0,2.0,0.0
cond-mat/0102423,"Power Laws of Wealth, Market Order Volumes and Market Returns",6.89343501795801e-06,5.1982385395972036e-08,7.0,4.0
physics/0506098,"Stock mechanics: predicting recession in S&P500, DJIA, and NASDAQ",6.850656904011768e-06,0.0,9.0,0.0
physics/0702003,"Waiting time analysis of foreign currency exchange rates: Beyond the
  renewal-reward theorem",6.831537142986348e-06,0.0,5.0,0.0
cond-mat/0311103,Time scales involved in market emergence,6.7095350728342165e-06,0.0,1.0,0.0
math/0703079,Least-Squares Prices of Games,6.614429212452857e-06,0.0,2.0,2.0
cond-mat/0305475,Estimated Correlation Matrices and Portfolio Optimization,6.589448319716948e-06,1.4469831673620554e-06,5.0,3.0
cond-mat/0301543,Critical Market Crashes,6.552831108727321e-06,1.1190622928341231e-06,8.0,1.0
physics/0612059,Risk evaluation with enhaced covariance matrix,6.423806498012442e-06,0.0,5.0,0.0
cond-mat/0108023,A Random Matrix Approach to Cross-Correlations in Financial Data,6.214884675239623e-06,0.0002471124075417,10.0,9.0
physics/0508218,Waiting-time distribution for a stock-market index,6.092306510372159e-06,0.0,3.0,0.0
cond-mat/0206577,A New Method to Estimate the Noise in Financial Correlation Matrices,6.08006394942481e-06,0.0002232535894256,8.0,2.0
cond-mat/0303099,"Wavelet Correlation Coefficient of 'strongly correlated' financial time
  series",6.060896361724061e-06,0.0,7.0,0.0
cond-mat/0312560,Power law for the calm-time interval of price changes,5.979336069436741e-06,0.0,3.0,0.0
physics/0608299,"Stochastic volatility of financial markets as the fluctuating rate of
  trading: an empirical study",5.906975554218009e-06,1.990182755160072e-06,2.0,1.0
physics/0610165,Non-Stationary Covariance Matrices And Noise,5.849033693207738e-06,0.0,4.0,0.0
cond-mat/9808240,"Scaling Laws for the Market Microstructure of the Interdealer Broker
  Markets",5.822641024316142e-06,0.0,13.0,11.0
cond-mat/0501292,"The Dynamics of Financial Markets -- Mandelbrot's multifractal cascades,
  and beyond",5.805149581249298e-06,8.970674508333458e-06,5.0,6.0
cond-mat/0305004,The US 2000-2003 Market Descent: Clarifications,5.7540994067042125e-06,0.0,5.0,0.0
cond-mat/9804111,Are Financial Crashes Predictable?,5.751161351402107e-06,0.0,6.0,4.0
cond-mat/0411112,Components of multifractality in high-frequency stock returns,5.735015444302079e-06,0.0,3.0,0.0
cond-mat/0406225,Properties of low variability periods in financial time series,5.633673021103656e-06,0.0,3.0,0.0
cond-mat/0502337,"On the distribution of high-frequency stock market traded volume: a
  dynamical scenario",5.617476133432654e-06,6.68344955091069e-08,3.0,2.0
physics/0603012,The Process of price formation and the skewness of asset returns,5.610720987134145e-06,0.0,1.0,0.0
nlin/0507037,"Forecasting non-stationary financial time series through genetic
  algorithm",5.516608381742631e-06,0.0,2.0,1.0
physics/0603103,"Market Mill Dependence Pattern in the Stock Market: Distribution
  Geometry, Moments and Gaussization",5.48076346219653e-06,0.0,7.0,3.0
physics/0507111,Financial Applications of Random Matrix Theory: Old Laces and New Pieces,5.4681757000812965e-06,9.149226621488856e-07,4.0,2.0
physics/0606213,Self-organization of price fluctuation distribution in evolving markets,5.46088801725726e-06,0.0,4.0,0.0
cond-mat/0010112,"""Slimming"" of power law tails by increasing market returns",5.437072252575069e-06,7.960731020640288e-06,4.0,2.0
cond-mat/0205531,Non-Parametric Analyses of Log-Periodic Precursors to Financial Crashes,5.418835903907808e-06,1.155989237138997e-07,3.0,6.0
cond-mat/0412526,A multi-time scale non-Gaussian model of stock returns,5.36530637568105e-06,2.1684080765176904e-06,2.0,3.0
physics/0507073,"On a multi-timescale statistical feedback model for volatility
  fluctuations",5.354340513947864e-06,1.4656705681551646e-05,4.0,7.0
physics/0606164,Analysis of aggregated tick returns: evidence for anomalous diffusion,5.30918567877667e-06,0.0,3.0,0.0
cond-mat/0304132,Causalities of the Taiwan Stock Market,5.295247239606113e-06,0.0,4.0,0.0
physics/0506072,"On collective non-gaussian dependence patterns in high frequency
  financial data",5.230085611911097e-06,0.0,7.0,4.0
