source,target
cond-mat/0004308,cond-mat/0004376
cond-mat/0004376,cond-mat/0004308
cond-mat/0309233,cond-mat/0312703
cond-mat/0307332,cond-mat/0309233
cond-mat/9901243,cond-mat/9909265
cond-mat/0207428,cond-mat/0307332
cond-mat/0210475,cond-mat/0307332
cond-mat/0112422,cond-mat/0207428
cond-mat/0102518,cond-mat/0207428
cond-mat/0106657,cond-mat/0207428
cond-mat/0106114,cond-mat/0112422
cond-mat/0106657,cond-mat/0112422
cond-mat/0104547,cond-mat/0112422
cond-mat/0207428,cond-mat/0112422
cond-mat/0210475,cond-mat/0112422
cond-mat/0101326,cond-mat/0102518
cond-mat/9909265,cond-mat/0102518
cond-mat/0004376,cond-mat/0207523
cond-mat/0004308,cond-mat/0012045
cond-mat/0004376,cond-mat/0012045
cond-mat/0112422,cond-mat/0210475
cond-mat/0106114,cond-mat/0210475
cond-mat/0106657,cond-mat/0210475
cond-mat/0104547,cond-mat/0210475
cond-mat/9709118,cond-mat/0101326
cond-mat/0011042,cond-mat/0101326
cond-mat/0012045,cond-mat/0101326
cond-mat/0004376,cond-mat/0101326
cond-mat/9901243,cond-mat/0101326
cond-mat/9909265,cond-mat/0101326
physics/0509194,physics/0603084
cond-mat/0101326,cond-mat/0104547
cond-mat/0106114,cond-mat/0104547
cond-mat/0008466,cond-mat/0104547
cond-mat/0102518,cond-mat/0104547
cond-mat/9709118,cond-mat/0011042
cond-mat/0004376,cond-mat/0011042
cond-mat/9909265,cond-mat/0011042
cond-mat/9811114,cond-mat/9910502
cond-mat/0202391,cond-mat/0212393
cond-mat/9910502,cond-mat/0106114
cond-mat/9901243,cond-mat/0106114
cond-mat/0104547,cond-mat/0106114
cond-mat/0102518,cond-mat/0106114
cond-mat/0211317,cond-mat/0303089
cond-mat/0312703,cond-mat/0406224
cond-mat/0207428,cond-mat/0406224
cond-mat/9903079,cond-mat/0010211
cond-mat/9709118,cond-mat/0010211
cond-mat/9901243,cond-mat/0010211
cond-mat/9810162,cond-mat/0010211
cond-mat/0207523,cond-mat/0311257
physics/0509194,physics/0608032
physics/0603084,physics/0608032
cond-mat/0310351,cond-mat/0303222
cond-mat/0310305,cond-mat/0303222
cond-mat/0203596,cond-mat/0303222
cond-mat/0307332,cond-mat/0303222
cond-mat/0312703,cond-mat/0303222
cond-mat/0106657,cond-mat/0111349
cond-mat/9810162,cond-mat/9903079
cond-mat/0012045,cond-mat/0103024
cond-mat/0101326,cond-mat/0103024
cond-mat/0004376,cond-mat/0103024
cond-mat/9901243,cond-mat/0103024
cond-mat/9909265,cond-mat/0103024
cond-mat/0011042,cond-mat/0103024
cond-mat/9810162,cond-mat/9906249
cond-mat/9903079,cond-mat/9906249
cond-mat/0406224,physics/0602015
cond-mat/0311581,cond-mat/0603134
cond-mat/0112422,cond-mat/0206446
cond-mat/0106635,cond-mat/0107600
cond-mat/0107600,cond-mat/0202479
cond-mat/0101326,cond-mat/0202479
cond-mat/0004376,cond-mat/0202479
cond-mat/9909265,cond-mat/0202479
cond-mat/0011042,cond-mat/0202479
cond-mat/0311581,cond-mat/0403723
cond-mat/0311257,cond-mat/0403649
cond-mat/0207523,cond-mat/0401422
cond-mat/0010211,cond-mat/0307170
cond-mat/0112422,cond-mat/0211082
cond-mat/0106114,cond-mat/0211082
cond-mat/9910502,cond-mat/0211082
cond-mat/0206446,cond-mat/0211082
cond-mat/0102518,cond-mat/0211082
cond-mat/0210475,cond-mat/0211082
cond-mat/9810162,cond-mat/0207376
cond-mat/0105373,cond-mat/0106401
cond-mat/0004376,cond-mat/0105303
cond-mat/0311257,nlin/0311055
cond-mat/9901243,cond-mat/9910047
cond-mat/9806138,cond-mat/9906435
cond-mat/9909265,physics/0608013
cond-mat/0603134,physics/0608091
cond-mat/0503762,physics/0608091
physics/0608032,physics/0612016
physics/0509194,physics/0612016
physics/0603084,physics/0612016
physics/0608032,physics/0701335
cond-mat/0406224,physics/0702210
cond-mat/9909265,physics/0702210
