id,title,pagerank,betweenness,in_degree,out_degree
cond-mat/0010211,On the nature of the stock market: Simulations and experiments,1.6820966316451584e-05,0.0,24.0,2.0
cond-mat/0211082,"Limit order market analysis and modelling: on an universal cause for
  over-diffusive prices",1.5594606851532255e-05,0.0,13.0,0.0
cond-mat/0207376,Excess Demand Financial Market Model,1.5555726884957196e-05,0.0,14.0,0.0
cond-mat/0307170,On Simple Mean-Field Stochastic Model of Market Dynamics,9.965804644092863e-06,0.0,2.0,0.0
cond-mat/0303222,Long Memory in Stock Trading,9.377987305389554e-06,2.6659537653077024e-06,14.0,3.0
cond-mat/0104341,"A Nonlinear Super-Exponential Rational Model of Speculative Financial
  Bubbles",8.608694068979442e-06,3.286527808347765e-05,7.0,4.0
cond-mat/0012497,The waiting-time distribution of LIFFE bond futures,8.13237648989176e-06,2.22781651697023e-08,1.0,3.0
physics/0601106,"An interacting-agent model of financial markets from the viewpoint of
  nonextensive statistical mechanics",7.263894683836344e-06,0.0,2.0,0.0
physics/0608091,"Anomalous fluctuations in Minority Games and related multi-agent models
  of financial markets",7.1924219236361785e-06,0.0,4.0,0.0
cond-mat/0202479,Colored minority games,7.010580562874252e-06,3.7130275282837164e-09,10.0,1.0
cond-mat/0112422,A quantitative model of trading and price formation in financial markets,6.902582383559051e-06,2.3882193061920743e-06,8.0,8.0
cond-mat/0201192,Sornette-Ide model for markets: Trader expectations as imaginary part,6.5514775124781285e-06,0.0,4.0,0.0
cond-mat/0210475,Statistical theory of the continuous double auction,6.113849809811117e-06,1.7599750484064818e-07,7.0,5.0
cond-mat/0104547,Mean-field approximation for a limit order driven market model,5.952484806846285e-06,8.281536599084037e-06,8.0,4.0
cond-mat/0406224,"Random walks, liquidity molasses and critical response in financial
  markets",5.739959454176982e-06,4.0051190271753685e-06,7.0,3.0
cond-mat/0106401,"Inner Market as a ""Black Box""",5.583040733007253e-06,0.0,5.0,0.0
cond-mat/9906435,"Analysis of the phenomenon of speculative trading in one of its basic
  manifestations: postage stamp bubbles",5.381804135442906e-06,0.0,11.0,0.0
cond-mat/0101326,Stylized facts of financial markets and market crashes in Minority Games,5.244986400151416e-06,9.532084270609907e-06,17.0,7.0
cond-mat/0106114,Analyzing and modelling 1+1d markets,4.7961634621089925e-06,1.1235621300586494e-06,7.0,5.0
cond-mat/0103024,Minority Games and stylized facts,4.666263452018586e-06,1.3614434270373628e-07,13.0,1.0
cond-mat/9906249,Capital flow in a two-component dynamical system,4.459220157990226e-06,0.0,12.0,2.0
nlin/0311055,Induced Minority Dynamics in a Stock Market Model,4.444182528342459e-06,0.0,6.0,0.0
physics/0612016,"Limit order placement as an utility maximization problem and the origin
  of power law distribution of limit order prices",4.399058159106375e-06,0.0,4.0,0.0
