source,target
hep-th/9810211,hep-th/9902157
hep-th/9806189,hep-th/9902157
solv-int/9502002,solv-int/9506003
hep-th/9306155,hep-th/9308060
math/9810105,math/9904042
math/9905084,math/9904042
math/9901118,math/9904042
math/9811154,math/9904042
solv-int/9504001,hep-ph/9801377
math/9901118,math/9810105
math/9811154,math/9810105
hep-th/9609031,hep-th/9710147
hep-th/9607017,hep-th/9710147
hep-th/9410147,hep-th/9710147
solv-int/9907008,math/9905084
math/9904042,math/9905084
math/9909169,math/9905084
solv-int/9710020,solv-int/9711014
hep-th/9308060,alg-geom/9503010
hep-th/9712232,math/9803106
solv-int/9611008,math/9803106
math/9804088,math/9804086
math/9804087,math/9804086
solv-int/9804007,hep-th/9806189
solv-int/9609009,solv-int/9705009
hep-th/9308060,solv-int/9504001
hep-th/9212076,solv-int/9504001
hep-th/9312035,solv-int/9504001
hep-th/9211066,math-ph/9907019
solv-int/9603006,solv-int/9603011
hep-th/9602160,solv-int/9603011
hep-th/9211066,math-ph/9807020
solv-int/9708007,math-ph/9807020
math/9810105,math/9811154
math/9804088,math/9804087
math/9804086,math/9804087
hep-th/9806189,hep-th/9810211
math/9810105,math/9905189
math/9904042,math/9905189
math/9804087,math/9905189
math/9810015,math/9905189
math/9804086,math/9905189
math/9905084,math/9905189
math/9810013,math/9905189
math/9811154,math/9905189
solv-int/9903016,solv-int/9903017
solv-int/9903017,solv-int/9903016
cond-mat/9411064,cond-mat/9411051
math/9804027,math/9810015
math/9804087,math/9810015
math/9804088,math/9810015
math/9804086,math/9810015
math/9810014,math/9810015
math/9810013,math/9810015
math/9804027,math/9804088
math/9804087,math/9804088
math/9804086,math/9804088
hep-th/9606144,solv-int/9704001
solv-int/9703004,solv-int/9704001
solv-int/9304002,solv-int/9704001
math/9905084,solv-int/9907008
hep-th/9608107,solv-int/9609008
hep-th/9505133,solv-int/9606004
hep-th/9804125,hep-th/9804124
solv-int/9707005,hep-th/9705219
hep-th/9506105,hep-th/9705219
math/9803115,math/9808130
hep-th/9407037,math/9808130
hep-ph/9801377,hep-ph/9902375
solv-int/9504001,hep-ph/9902375
hep-th/9712232,math/9803107
math/9803106,math/9803107
solv-int/9506003,solv-int/9512005
solv-int/9711014,chao-dyn/9805006
solv-int/9812016,solv-int/9911008
solv-int/9512005,solv-int/9911008
solv-int/9904005,solv-int/9911008
solv-int/9801015,solv-int/9911008
solv-int/9506003,solv-int/9911008
hep-th/9809125,hep-th/9809127
hep-th/9809126,hep-th/9809127
hep-th/9711028,hep-th/9809127
hep-th/9407117,hep-th/9509096
hep-th/9607099,hep-th/9701107
solv-int/9506006,solv-int/9510006
hep-th/9211111,hep-th/9212076
hep-th/9211126,hep-th/9212076
math/9803106,math/9808048
hep-th/9902157,hep-th/9908127
hep-th/9406078,hep-th/9709207
solv-int/9704004,hep-th/9709207
hep-th/9812232,hep-th/9905011
hep-th/9805106,hep-th/9905011
hep-th/9809068,hep-th/9905011
hep-th/9804124,hep-th/9905011
hep-th/9512007,hep-th/9604142
solv-int/9701019,solv-int/9701020
hep-th/9609191,solv-int/9701020
solv-int/9603011,hep-th/9602160
solv-int/9603006,hep-th/9602160
math/9803107,hep-th/9712232
hep-th/9306155,hep-th/9309033
hep-th/9308060,hep-th/9309033
solv-int/9603011,solv-int/9701004
hep-th/9910253,hep-th/9911030
math-ph/9907019,hep-th/9911030
solv-int/9506003,solv-int/9709006
solv-int/9902015,solv-int/9908002
solv-int/9903017,solv-int/9908002
solv-int/9903016,solv-int/9908002
solv-int/9401005,hep-th/9606144
solv-int/9304002,hep-th/9606144
solv-int/9510007,hep-th/9606144
solv-int/9808019,math-ph/9908015
dg-ga/9409004,funct-an/9409003
hep-th/9804124,hep-th/9805106
hep-th/9310071,hep-th/9410147
solv-int/9512008,solv-int/9701017
solv-int/9509004,solv-int/9701017
hep-th/9509096,solv-int/9701017
solv-int/9510002,solv-int/9701017
hep-th/9407117,solv-int/9701017
hep-th/9602068,solv-int/9701017
solv-int/9612011,solv-int/9701017
hep-th/9508084,hep-th/9510001
hep-th/9804124,hep-th/9809068
hep-th/9805106,hep-th/9809068
hep-th/9804125,hep-th/9809068
hep-th/9606066,solv-int/9912015
solv-int/9902010,solv-int/9912015
hep-th/9602160,solv-int/9603006
q-alg/9602023,solv-int/9603006
solv-int/9304001,hep-th/9405011
hep-th/9312213,hep-th/9405011
math/9904042,math/9909169
math/9905084,math/9909169
math/9901118,math/9909169
math/9811154,math/9909169
hep-th/9809068,hep-th/9812232
hep-th/9804125,hep-th/9812232
hep-th/9804124,hep-th/9812232
solv-int/9608004,solv-int/9609010
math-ph/9907019,hep-th/9910253
math/9804027,math/9810013
math/9804087,math/9810013
math/9810015,math/9810013
math/9804088,math/9810013
math/9804086,math/9810013
math/9810014,math/9810013
solv-int/9903009,solv-int/9909010
solv-int/9510006,solv-int/9602001
hep-th/9308086,hep-th/9512105
hep-th/9608082,hep-th/9712254
hep-th/9602068,hep-th/9608107
solv-int/9705009,solv-int/9803015
patt-sol/9903004,patt-sol/9904006
hep-th/9211111,solv-int/9902015
alg-geom/9503010,solv-int/9804016
hep-th/9611185,cond-mat/9612077
hep-th/9509096,solv-int/9510002
hep-ph/9801377,hep-ph/9909539
solv-int/9609010,hep-th/9910123
hep-th/9908127,hep-th/9910123
hep-th/9902157,hep-th/9910123
hep-th/9910033,hep-th/9910123
cond-mat/9901073,hep-th/9910123
solv-int/9304001,hep-th/9312213
solv-int/9611008,solv-int/9910011
solv-int/9712010,solv-int/9910011
solv-int/9602001,cond-mat/9701067
solv-int/9701003,cond-mat/9701067
solv-int/9709006,solv-int/9801015
solv-int/9512005,solv-int/9801015
hep-th/9402139,solv-int/9801015
solv-int/9712006,solv-int/9801015
solv-int/9506003,solv-int/9801015
solv-int/9505001,dg-ga/9409004
funct-an/9409003,dg-ga/9409004
hep-th/9211111,hep-th/9211126
cond-mat/9804207,hep-th/9910033
hep-th/9812232,hep-th/9910033
solv-int/9707005,hep-th/9910033
cond-mat/9803284,hep-th/9910033
hep-th/9809068,hep-th/9910033
solv-int/9608004,hep-th/9910033
hep-th/9705219,hep-th/9910033
hep-th/9804124,hep-th/9910033
cond-mat/9609041,hep-th/9910033
hep-th/9905011,hep-th/9910033
hep-th/9805106,hep-th/9910033
cond-mat/9706133,hep-th/9910033
solv-int/9710025,hep-th/9803101
solv-int/9707007,solv-int/9801006
solv-int/9707003,solv-int/9801006
dg-ga/9702015,solv-int/9801006
solv-int/9801006,math/9807129
hep-th/9710079,hep-th/9801079
hep-th/9706067,solv-int/9707005
hep-th/9506105,solv-int/9707005
hep-th/9705219,solv-int/9707005
hep-th/9804124,hep-th/9804125
solv-int/9804004,solv-int/9804005
solv-int/9903015,solv-int/9908007
solv-int/9603006,q-alg/9612032
hep-th/9602160,q-alg/9612032
q-alg/9610009,q-alg/9612032
solv-int/9603011,q-alg/9612032
q-alg/9602023,q-alg/9612032
solv-int/9708007,hep-th/9801046
hep-th/9710147,hep-th/9902141
hep-th/9810067,hep-th/9902141
hep-th/9805094,hep-th/9902141
hep-th/9806002,hep-th/9712090
cond-mat/9709163,cond-mat/9709252
hep-th/9309033,hep-th/9312042
hep-th/9306155,hep-th/9312042
hep-th/9308060,hep-th/9312042
hep-th/9812232,hep-th/9903002
hep-th/9809068,hep-th/9903002
hep-th/9804124,hep-th/9903002
hep-th/9805106,hep-th/9903002
hep-th/9902157,hep-th/9903002
hep-th/9804125,hep-th/9903002
math/9909068,solv-int/9907020
solv-int/9801008,math/9810014
math/9804087,math/9810014
math/9810015,math/9810014
math/9804088,math/9810014
math/9804086,math/9810014
math/9810013,math/9810014
hep-th/9806003,hep-th/9904002
hep-th/9809140,hep-th/9904002
hep-th/9807189,hep-th/9904002
hep-th/9510001,solv-int/9708002
solv-int/9707012,solv-int/9708002
solv-int/9707014,solv-int/9708002
