id,title,pagerank,betweenness,in_degree,out_degree
solv-int/9907004,"N=2 local and N=4 nonlocal reductions of supersymmetric KP hierarchy in
  N=2 superspace",2.034029308061609e-05,5.927972216489229e-06,33.0,10.0
solv-int/9810007,"Quelques applications de l'Ansatz de Bethe (Some applications of the
  Bethe Ansatz)",1.7062422381402322e-05,0.0,30.0,0.0
solv-int/9908001,"Non-additive fusion, Hubbard models and non-locality",1.5988748657539178e-05,0.0,2.0,0.0
solv-int/9903003,New Integrable Models from Fusion,1.4377802375474754e-05,1.9693147742740405e-06,5.0,1.0
hep-th/9902089,Eigenvalue Dynamics and the Matrix Chain,1.3511444899445502e-05,1.223263080782764e-08,23.0,1.0
solv-int/9701017,"Method of Squared Eigenfunction Potentials in Integrable Hierarchies of
  KP Type",1.3435767425278938e-05,1.130411762917564e-05,23.0,11.0
solv-int/9801021,"Supersymmetric KP Hierarchy: ``Ghost'' Symmetry Structure, Reductions
  and Darboux-Backlund Solutions",1.280716420452925e-05,2.013574828588259e-06,18.0,8.0
solv-int/9912010,"Real forms of the complex twisted N=2 supersymmetric Toda chain
  hierarchy in real N=1 and twisted N=2 superspaces",1.23296219439012e-05,4.234384037850518e-07,18.0,2.0
solv-int/9808004,"Berezinian Construction of Super-Solitons in Supersymmetric Constrained
  KP Hierarchies",1.1552270572077097e-05,2.013574828588259e-06,15.0,8.0
solv-int/9907021,Supersymmetric KP hierarchy in N=1 superspace and its N=2 reductions,1.1205066106703362e-05,2.9778480776835407e-06,15.0,7.0
solv-int/9911008,Multidimensional analogs of geometric s<-->t duality,1.1040629157892955e-05,0.0,5.0,3.0
cond-mat/9912272,Exact Dynamics of the SU(K) Haldane-Shastry Model,1.0997032608046165e-05,0.0,7.0,0.0
hep-th/9910033,Calogero-Moser Models V: Supersymmetry and Quantum Lax Pair,1.056200389986743e-05,1.2276197850365417e-05,25.0,21.0
hep-th/9904002,Particle Reflection Amplitudes in a_n^(1) Toda Field Theories,1.0206411411184254e-05,4.985876214379548e-06,29.0,12.0
