id,title,pagerank,betweenness,in_degree,out_degree
q-bio/0702049,"The Cyclohedron Test for Finding Periodic Genes in Time Course
  Expression Studies",1.1270091633965842e-05,0.0,5.0,0.0
physics/0702148,Reliability of rank order in sampled networks,5.738701906786115e-06,0.0,4.0,0.0
q-bio/0412015,"The Mystery of Two Straight Lines in Bacterial Genome Statistics.
  Release 2007",3.702565106583692e-06,0.0,1.0,2.0
physics/0203002,Finding an Upper Limit in the Presence of Unknown Background,1.353550339606221e-06,0.0,1.0,2.0
physics/0608293,"Automatic Trading Agent. RMT based Portfolio Theory and Portfolio
  Selection",1.3189329710618589e-06,0.0,0.0,1.0
cond-mat/0610507,"Experimental Designs for Binary Data in Switching Measurements on
  Superconducting Josephson Junctions",,,,
math/0508089,Position play in carom billiards as a Markov process,,,,
math/0610034,"Bayesian variable selection and data integration for biological
  regulatory networks",,,,
math/0610667,On testing the significance of sets of genes,,,,
nucl-th/0605001,Isospin asymmetry in nuclei and nuclear symmetry energy,,,,
