id,title,pagerank,betweenness,in_degree,out_degree
cond-mat/9502025,Neutron scattering and superconducting order parameter in YBa2Cu3O7,4.29547588726343e-06,0.0,4.0,1.0
cond-mat/9501088,Gapless Time-Reversal Symmetry Breaking Superconductivity,3.911405833560001e-06,0.0,3.0,0.0
cond-mat/9411064,"Superconductivity in an exactly solvable Hubbard model with bond-charge
  interaction",3.893776289413273e-06,0.0,3.0,3.0
hep-th/9505094,Theoretical analysis of a reported weak gravitational shielding effect,3.781695813349124e-06,0.0,3.0,3.0
cond-mat/9604002,Coherent transport in a normal diffusive wire between two reservoirs,3.62335329328243e-06,0.0,2.0,0.0
cond-mat/9511018,Spectral Flow in Josephson Junctions and Effective Magnus Force,3.602649407146852e-06,0.0,4.0,0.0
cond-mat/9512054,Thermal Conductivity of Superconducting UPt$_3$ at Low Temperatures,3.527335779856573e-06,0.0,5.0,1.0
cond-mat/9504076,"""Chain scenario"" for Josephson tunneling with pi-shift in YBa2Cu3O7",3.0472482127272877e-06,0.0,2.0,1.0
cond-mat/9507045,"Magnetic and pair correlations of the Hubbard model with
  next-nearest-neighbor hopping",3.0472482127272877e-06,0.0,2.0,1.0
cond-mat/9604182,"On the Decoupling of Layered Superconducting Films in Parallel Magnetic
  Field",2.7412866436134728e-06,0.0,2.0,3.0
cond-mat/9506127,"Finite-Band-width Effects on the Transition Temperature and NMR
  Relaxation Rate of Impure Superconductors",2.4711431321721443e-06,0.0,1.0,0.0
cond-mat/9512105,"Non-magnetic impurity scattering in a $d_{x^2 - y^2}$ superconductor
  near a van Hove point: Zn versus Ni in the cuprates",2.4711431321721443e-06,0.0,1.0,1.0
supr-con/9607007,Towards a Microscopic Theory for Metallic Heavy-Fermion Point Contacts,2.4711431321721443e-06,0.0,1.0,0.0
supr-con/9607003,Flux flow resistivity and vortex viscosity of high-Tc films,2.4711431321721443e-06,0.0,1.0,0.0
supr-con/9508001,Nucleation and Growth of Normal Phase in Thin Superconducting Strips,2.4711431321721443e-06,0.0,1.0,0.0
cond-mat/9510100,"Antiferromagnetic Excitations and Van Hove Singularities in
  YBa$_2$Cu$_3$O$_{6+x}$",2.4711431321721443e-06,0.0,3.0,0.0
cond-mat/9511041,"On the Stereochemistry of the Cations in the Doping Block of
  Superconducting Copper-Oxides",2.4711431321721443e-06,0.0,1.0,0.0
supr-con/9601001,"Updating the theoretical analysis of the weak gravitational shielding
  experiment",2.3671750587438765e-06,0.0,1.0,3.0
cond-mat/9502095,Renormalization group analysis of electrons near a Van Hove singularity.,2.27910810532043e-06,0.0,2.0,6.0
supr-con/9505001,Superconductivity from correlated hopping,1.8950380516170012e-06,0.0,1.0,0.0
cond-mat/9603044,ARPES Study of the Superconducting Gap Anisotropy in Bi_2Sr_2CaCu_2O_8+x,1.8950380516170012e-06,0.0,1.0,1.0
cond-mat/9606099,The Magnus force in superfluids and superconductors,1.6822991386297089e-06,0.0,1.0,7.0
cond-mat/9505158,"Adiabatic Effective Action for Vortices in Neutral and Charged
  Superfluids",1.6404814871408405e-06,0.0,1.0,0.0
cond-mat/9604152,"Critical Behavior of the Flux-line Tension in Extreme Type-II
  Superconductors",1.3189329710618589e-06,0.0,0.0,2.0
cond-mat/9607142,"Irreversibility, Mechanical Entanglement and Thermal Melting in
  Superconducting Vortex Crystals with Point Impurities",1.3189329710618589e-06,0.0,0.0,3.0
cond-mat/9603041,Anti-phase locking in a two-dimensional Josephson junction array,1.3189329710618589e-06,0.0,0.0,1.0
supr-con/9501001,"Phonon Assisted Multimagnon Optical Absorption and Long Lived Two-Magnon
  States in Undoped Lamellar Copper Oxides",1.3189329710618589e-06,0.0,0.0,1.0
cond-mat/9507124,"Intercalation and Staging Behavior in Super-Oxygenated $La_2CuO_{4 +
  \delta}$",1.3189329710618589e-06,0.0,0.0,1.0
cond-mat/9507020,"Electronic excitations in Bi$_2$Sr$_2$CaCu$_2$O$_8$ : Fermi surface,
  dispersion, and absence of bilayer splitting",1.3189329710618589e-06,0.0,0.0,1.0
cond-mat/9502039,PHASE TRANSITION OF N-COMPONENT SUPERCONDUCTORS,1.3189329710618589e-06,0.0,0.0,8.0
supr-con/9606001,New Universality Class in the Superconductive Phase Transition,1.3189329710618589e-06,0.0,0.0,3.0
