source,target,weight,raw_count
Quantum Algebra,Quantum Algebra,0.0006187749144694035,1533
Quantum Algebra,QA,0.0003202985841038804,3523
Quantum Algebra,Algebraic Geometry,5.922512006547068e-05,132
Quantum Algebra,AG,2.5761574957595934e-05,402
QA,Quantum Algebra,0.00016310407603813834,1794
QA,QA,0.0002547502317326063,12440
QA,Algebraic Geometry,1.889841827313328e-05,187
QA,AG,2.800270073057603e-05,1940
Differential Geometry,Quantum Algebra,5.998690673844562e-06,67
Differential Geometry,QA,1.605264363647393e-05,796
Differential Geometry,Algebraic Geometry,1.2937980496691061e-05,130
Differential Geometry,AG,2.6965272254579917e-05,1897
Algebraic Geometry,Quantum Algebra,0.00010498998557060711,234
Algebraic Geometry,QA,7.660428369537447e-05,758
Algebraic Geometry,Algebraic Geometry,0.00044387787672763257,890
Algebraic Geometry,AG,0.0002033020701194111,2854
AG,Quantum Algebra,1.5380044750803542e-05,240
AG,QA,3.472912265864223e-05,2406
AG,Algebraic Geometry,6.53216532233707e-05,917
AG,AG,0.00013727090704488703,13492
Differential Geometry,Differential Geometry,0.00014847115226959882,7476
MP,Mathematical Physics,7.550462338969798e-05,12991
MP,MP,7.550462338969798e-05,12991
MP,SG,2.5344512473690322e-05,623
MP,OA,1.511925956629507e-05,472
MP,Functional Analysis,6.59947486630209e-06,279
Mathematical Physics,Mathematical Physics,7.550462338969798e-05,12991
Mathematical Physics,MP,7.550462338969798e-05,12991
Mathematical Physics,SG,2.5344512473690322e-05,623
Mathematical Physics,OA,1.511925956629507e-05,472
Mathematical Physics,Functional Analysis,6.59947486630209e-06,279
Differential Geometry,Mathematical Physics,2.5741786758476462e-05,2396
Differential Geometry,MP,2.5741786758476462e-05,2396
Differential Geometry,SG,0.00011182213377386391,1487
Differential Geometry,OA,7.638342823036769e-06,129
Differential Geometry,Functional Analysis,5.81537504709142e-06,133
QA,Mathematical Physics,5.112282792893984e-05,4686
QA,MP,5.112282792893984e-05,4686
QA,SG,5.26898070117457e-05,690
QA,OA,4.034527377064163e-05,671
QA,Functional Analysis,8.125271619394161e-06,183
Quantum Algebra,Mathematical Physics,5.802532364617184e-05,1198
Quantum Algebra,MP,5.802532364617184e-05,1198
Quantum Algebra,SG,3.898733284604818e-05,115
Quantum Algebra,OA,2.8029000672696015e-05,105
Quantum Algebra,Functional Analysis,1.695248691011752e-05,86
Functional Analysis,Mathematical Physics,1.2962409414815574e-05,548
Functional Analysis,MP,1.2962409414815574e-05,548
Functional Analysis,SG,5.629230408043044e-06,34
Functional Analysis,OA,5.553571102657632e-05,426
Functional Analysis,Functional Analysis,6.151488934684376e-05,639
OA,Mathematical Physics,2.2198404405598483e-05,693
OA,MP,2.2198404405598483e-05,693
OA,SG,1.4573598916621078e-05,65
OA,OA,0.0002971188475390156,1683
OA,Functional Analysis,4.5497566075763224e-05,349
SG,Mathematical Physics,2.9575378119378592e-05,727
SG,MP,2.9575378119378592e-05,727
SG,SG,0.0006207508465560856,2180
SG,OA,1.300413441790804e-05,58
SG,Functional Analysis,3.476877604967763e-06,21
Algebraic Geometry,MP,2.745822150838025e-05,510
Algebraic Geometry,Mathematical Physics,2.745822150838025e-05,510
AG,MP,1.3703271632263739e-05,1782
AG,Mathematical Physics,1.3703271632263739e-05,1782
Mathematical Physics,QA,2.7285145678676598e-05,2501
MP,QA,2.7285145678676598e-05,2501
OA,QA,4.3592136339366885e-05,725
SG,QA,4.2380931726838936e-05,555
Functional Analysis,QA,1.0700494318437121e-05,241
GT,QA,3.9060313539308776e-05,1097
MP,AP,8.859192662251564e-06,370
Mathematical Physics,AP,8.859192662251564e-06,370
RT,QA,5.866511818931055e-05,1277
Quantum Algebra,Differential Geometry,1.88018662911546e-05,210
QA,Differential Geometry,1.653664294209626e-05,820
Algebraic Geometry,Differential Geometry,6.986509468213173e-05,702
AG,Differential Geometry,3.3106019547135806e-05,2329
GT,GT,0.0002813211022215266,4544
GT,Differential Geometry,2.4194546030369275e-05,690
DS,GT,1.0857220851872243e-05,133
DS,Differential Geometry,8.55348619753985e-06,185
GR,GT,5.225376467296496e-05,533
GR,Differential Geometry,3.609176592457554e-06,65
Differential Geometry,GT,3.839569261341211e-05,1095
KT,Differential Geometry,3.220219663617767e-05,202
RA,Differential Geometry,5.791416348782258e-06,84
SG,Differential Geometry,9.309737835376162e-05,1238
Exactly Solvable and Integrable Systems,Probability,2.6748764551448046e-05,167
Exactly Solvable and Integrable Systems,Mathematical Physics,6.687641114773503e-05,1236
Exactly Solvable and Integrable Systems,RT,4.2150495496162595e-05,185
Exactly Solvable and Integrable Systems,CO,2.305427606557333e-05,172
Exactly Solvable and Integrable Systems,MP,6.687641114773503e-05,1236
Mathematical Physics,Probability,1.8237680227637908e-05,1060
Mathematical Physics,RT,1.436631986403147e-05,587
Mathematical Physics,CO,1.4599482841396272e-05,1014
CO,Probability,2.74058488684645e-05,643
CO,Mathematical Physics,2.1193726570547645e-05,1472
CO,RT,4.183358418326748e-05,690
CO,CO,0.00015276228487152256,4283
CO,MP,2.1193726570547645e-05,1472
MP,Probability,1.8237680227637908e-05,1060
MP,RT,1.436631986403147e-05,587
MP,CO,1.4599482841396272e-05,1014
Probability,Probability,0.00010782447642099749,2117
Probability,Mathematical Physics,2.5894064851504764e-05,1505
Probability,RT,2.0141183903136845e-05,278
Probability,CO,2.5573109364041522e-05,600
Probability,MP,2.5894064851504764e-05,1505
RT,Probability,1.9344230583228553e-05,267
RT,Mathematical Physics,2.063169956623259e-05,843
RT,RT,0.00025218419649137273,2447
RT,CO,4.340992213799929e-05,716
RT,MP,2.063169956623259e-05,843
Quantum Algebra,Probability,1.2904346958316378e-06,9
Quantum Algebra,RT,4.9561391879682074e-05,243
Quantum Algebra,CO,1.403832101680639e-05,117
Differential Geometry,Probability,6.996926695361699e-07,22
Differential Geometry,RT,9.771969287062455e-06,216
Differential Geometry,CO,3.433287236794619e-06,129
Algebraic Geometry,Probability,1.1156630162172776e-06,7
Algebraic Geometry,RT,1.881727743468364e-05,83
Algebraic Geometry,CO,7.468937223582636e-06,56
AG,Probability,1.3886064250955873e-06,61
AG,RT,3.377359901897895e-05,1043
AG,CO,1.8116138736476474e-05,951
NT,MP,5.088912787644507e-06,263
NT,Mathematical Physics,5.088912787644507e-06,263
Mathematical Physics,Exactly Solvable and Integrable Systems,8.819461987929457e-06,163
Exactly Solvable and Integrable Systems,Exactly Solvable and Integrable Systems,0.0004921217701675481,977
MP,Exactly Solvable and Integrable Systems,8.819461987929457e-06,163
GT,SG,0.00012162080703637445,916
SG,GT,0.00012082416419552483,910
AG,GT,1.6464059184678707e-05,656
AG,SG,6.690408376498937e-05,1243
Mathematical Physics,Differential Geometry,1.743694487020338e-05,1623
CO,Differential Geometry,2.8477653824575524e-06,107
MP,Differential Geometry,1.743694487020338e-05,1623
CA,MP,1.773847215355513e-05,507
CA,Differential Geometry,1.5521740007750522e-06,24
CA,Mathematical Physics,1.773847215355513e-05,507
GR,MP,2.5832849568167875e-06,86
GR,Mathematical Physics,2.5832849568167875e-06,86
Exactly Solvable and Integrable Systems,Differential Geometry,1.500260445213289e-05,150
GT,AG,1.0490818199993444e-05,418
SG,AG,5.538560112162032e-05,1029
Mathematical Physics,CV,9.691450479813726e-06,262
MP,CV,9.691450479813726e-06,262
OA,Differential Geometry,7.342283023694258e-06,124
Probability,CV,1.2592678003799922e-05,115
