source,target,weight,raw_count
High Energy Physics - Theory,High Energy Physics - Theory,0.00018185994108757374,604877
General Relativity and Quantum Cosmology,High Energy Physics - Theory,8.22898647580823e-05,122651
Astrophysics,Astrophysics,3.177811406906275e-05,221130
High Energy Physics - Phenomenology,Astrophysics,1.7234071054107403e-05,92076
General Relativity and Quantum Cosmology,Astrophysics,2.9302993983835996e-05,63173
High Energy Physics - Theory,Astrophysics,1.5171435592557396e-05,72988
High Energy Physics - Theory,High Energy Physics - Phenomenology,3.9353025059799736e-05,145359
Quantum Physics,High Energy Physics - Theory,7.391372670251898e-06,10237
High Energy Physics - Phenomenology,High Energy Physics - Theory,3.9939696716213075e-05,147526
High Energy Physics - Lattice,High Energy Physics - Theory,3.6178063031750824e-05,22346
High Energy Physics - Phenomenology,High Energy Physics - Phenomenology,0.0001088393510834364,446461
Astrophysics,High Energy Physics - Theory,1.651983673642926e-05,79475
Astrophysics,High Energy Physics - Phenomenology,1.9485753086134337e-05,104106
Astrophysics,Nuclear Theory,3.993692183718839e-06,5922
Astrophysics,Condensed Matter,5.082619259822768e-07,582
Nuclear Theory,High Energy Physics - Theory,6.376456934082922e-06,6537
Nuclear Theory,Astrophysics,4.157567090953503e-06,6165
Nuclear Theory,High Energy Physics - Phenomenology,4.194556183333917e-05,47755
Nuclear Theory,Nuclear Theory,0.00012057805971866313,38101
Nuclear Theory,Condensed Matter,3.2375569457579544e-06,790
High Energy Physics - Theory,Nuclear Theory,6.597882010423265e-06,6764
High Energy Physics - Theory,Condensed Matter,8.048873853410636e-06,6372
High Energy Physics - Phenomenology,Nuclear Theory,4.1325447360418277e-05,47049
High Energy Physics - Phenomenology,Condensed Matter,2.6172318277379093e-06,2301
Condensed Matter,High Energy Physics - Theory,1.334026314593059e-05,10561
Condensed Matter,Astrophysics,9.466596696989486e-07,1084
Condensed Matter,High Energy Physics - Phenomenology,4.706695047014111e-06,4138
Condensed Matter,Nuclear Theory,6.294794264157238e-06,1536
Condensed Matter,Condensed Matter,3.12104414884915e-05,5881
High Energy Physics - Lattice,Astrophysics,1.4170476745206702e-06,1266
High Energy Physics - Lattice,High Energy Physics - Phenomenology,5.326241435936614e-05,36535
High Energy Physics - Lattice,Nuclear Theory,4.723161391769429e-05,8992
High Energy Physics - Lattice,Condensed Matter,8.250793093031875e-06,1213
SUPR-CON,High Energy Physics - Theory,1.7216907727252313e-06,1096
SUPR-CON,Astrophysics,5.310784710210418e-07,489
SUPR-CON,High Energy Physics - Phenomenology,3.3934469661937684e-06,2399
SUPR-CON,Nuclear Theory,6.7529175457861065e-06,1325
SUPR-CON,Condensed Matter,4.474697388029377e-06,678
STAT-MECH,High Energy Physics - Theory,4.401300964953941e-06,5316
STAT-MECH,Astrophysics,4.0239878352065864e-07,703
STAT-MECH,High Energy Physics - Phenomenology,1.0802659834930393e-06,1449
STAT-MECH,Nuclear Theory,2.0038531571249088e-06,746
STAT-MECH,Condensed Matter,6.459477314331325e-06,1857
High Energy Physics - Experiment,High Energy Physics - Theory,7.13277824620837e-06,4562
High Energy Physics - Experiment,Astrophysics,1.0528527542617242e-05,9740
High Energy Physics - Experiment,High Energy Physics - Phenomenology,0.00010644375327220741,75605
High Energy Physics - Experiment,Nuclear Theory,3.162793736542274e-05,6235
High Energy Physics - Experiment,Condensed Matter,3.8099634880688694e-07,58
Nuclear Experiment,High Energy Physics - Theory,3.0590292202618954e-06,826
Nuclear Experiment,Astrophysics,5.9939101872497546e-06,2341
Nuclear Experiment,High Energy Physics - Phenomenology,5.7812093581665754e-05,17336
Nuclear Experiment,Nuclear Theory,0.00011969639937082133,9962
Nuclear Experiment,Condensed Matter,7.935296031819853e-07,51
General Relativity and Quantum Cosmology,High Energy Physics - Phenomenology,2.494274713377894e-05,41286
General Relativity and Quantum Cosmology,Nuclear Theory,1.6151398455121786e-06,742
General Relativity and Quantum Cosmology,Condensed Matter,2.232491507765795e-06,792
High Energy Physics - Theory,General Relativity and Quantum Cosmology,8.26682675735796e-05,123215
General Relativity and Quantum Cosmology,General Relativity and Quantum Cosmology,0.0001693979791982761,113143
Astrophysics,High Energy Physics - Experiment,8.684413786179356e-06,8034
