id,paper_count,pagerank
Atomic Physics,123,0.014808752087294385
Chemical Physics,243,0.00603850724031755
PLASM-PH,1199,0.014301914430364437
ACC-PH,842,0.017868333910821686
AO-PH,424,0.02225149532528001
EP,3,0.002952880298744891
Plasma Physics,36,0.002889752809248864
ATOM-PH,2811,0.009983416900030724
Accelerator and Optical Science,17,0.002877546236995955
CO,5295,0.018718596365051604
SOC-PH,1127,0.026342924412382573
STAT-MECH,20943,0.01175694510885374
Galaxy Astrophysics,4,0.13839531239082264
Superconductivity,173,0.01260690421409269
STR-EL,15308,0.009695024392433454
ED-PH,460,0.01976303704558421
High Energy Physics - Lattice,10710,0.0166917385055321
General Relativity and Quantum Cosmology,25844,0.02180881898769456
High Energy Physics - Experiment,11090,0.029075321862074982
DIS-NN,7593,0.011012368844153696
DATA-AN,1127,0.01976489402044103
COMP-PH,1410,0.015022288186774438
POP-PH,205,0.0364864463476408
ATM-CLUS,509,0.015538194057258346
QUANT-GAS,54,0.07840369496146211
High Energy Physics - Phenomenology,64047,0.07039447896547062
Nuclear Experiment,4682,0.007331914133840672
CLASS-PH,1135,0.017198473124815206
SUPR-CON,11038,0.010827837069336523
MES-HALL,12164,0.010117019600697628
GEN-PH,1887,0.026633497548769085
HE,9,0.005062464596072833
SOFT,8076,0.007681830654479091
Accelerator Physics,49,0.002877546236995955
IM,7,0.0047709482956848496
BIO-PH,1283,0.009683375195899901
Materials Theory,262,0.005644110077178088
CHEM-PH,1596,0.010562013665517154
SPACE-PH,372,0.016866763735925674
Quantum Physics,24015,0.010257842782661578
FLU-DYN,1490,0.01298611424681494
INS-DET,838,0.007431906971719988
MED-PH,181,0.020773397660392462
High Energy Physics - Theory,57672,0.01800462309748546
OTHER,3630,0.012015722303507136
HIST-PH,303,0.03871284446051071
SR,7,0.024438633602866223
Astrophysics,83418,0.02312081419580879
Nuclear Theory,17776,0.012343276492648728
Optics,2013,0.01109134889904732
Condensed Matter,13727,0.008188758974054737
Materials Science,10330,0.006583827627841521
GEO-PH,422,0.013343506842605428
