source,target,weight,raw_count
Quantitative Biology,PE,6.64537144247361e-05,59
Quantitative Biology,Quantitative Biology,0.00018650267391374342,307
OT,Quantitative Biology,1.68220840319171e-05,3
MN,Quantitative Biology,2.7444479817329542e-05,10
GN,Quantitative Biology,3.392484121054011e-06,4
PE,Quantitative Biology,4.167436328330908e-05,37
Quantitative Biology,GN,9.32933133289853e-06,11
Neurons and Cognition,OT,9.964327706809622e-05,5
GN,OT,3.914170078518252e-05,5
Quantitative Biology,OT,2.2429445375889467e-05,4
Quantitative Biology,BM,4.738135117399143e-05,40
BM,BM,0.000311804214669118,135
BM,Quantitative Biology,2.250614180764593e-05,19
Quantitative Biology,MN,5.214451165292613e-05,19
MN,MN,0.000681908351517556,55
PE,QM,6.764235641372525e-05,22
PE,PE,0.00039886063684052255,191
QM,QM,0.00016296966953372567,36
QM,PE,5.8418398720944535e-05,19
BM,OT,6.560101462902626e-05,6
GN,PE,1.2579644876625134e-05,8
QM,Quantitative Biology,6.6333891643588e-06,4
GN,MN,5.747214516697574e-05,15
OT,BM,8.746801950536835e-05,8
Quantitative Biology,QM,3.48252931128837e-05,21
MN,QM,0.00015732694036559784,21
GN,QM,2.3151899613363278e-05,10
Neurons and Cognition,Neurons and Cognition,0.0004680749840777772,61
QM,GN,9.260759845345311e-06,4
PE,OT,6.237784339002786e-05,6
GN,GN,2.9601177416432918e-05,25
MN,OT,0.0001013273887931908,4
CB,CB,0.0003417488999957281,8
OT,OT,0.00015527146628021324,3
GN,BM,1.9844485382882807e-05,12
MN,PE,5.088333469022226e-05,10
CB,BM,1.9866102469356536e-05,2
PE,MN,2.0353333876088902e-05,4
Neurons and Cognition,QM,3.536276301054989e-05,6
QM,Neurons and Cognition,4.7150350680733185e-05,8
Quantitative Biology,Neurons and Cognition,4.318134220565978e-05,20
OT,Neurons and Cognition,3.985731082723849e-05,2
SC,BM,1.0855405992184108e-05,2
Neurons and Cognition,Quantitative Biology,8.636268441131955e-06,4
PE,GN,9.434733657468849e-06,6
CB,QM,8.343763037129746e-05,6
BM,QM,7.437107935070814e-05,23
Neurons and Cognition,MN,4.876906870586399e-05,5
QM,MN,8.240934971531316e-05,11
QM,BM,2.9101726702451014e-05,9
BM,GN,2.480560672860351e-05,15
OT,QM,4.592071024031838e-05,3
QM,OT,7.653451706719731e-05,5
MN,GN,4.2146239789115545e-05,11
Quantitative Biology,TO,1.0255568773844198e-05,1
PE,CB,6.611507801579205e-05,7
PE,BM,4.392360806086055e-06,2
MN,BM,2.6756282375101674e-05,5
OT,GN,2.348502047110951e-05,3
MN,SC,2.5150905432595573e-05,2
PE,Neurons and Cognition,8.006020527436632e-06,2
SC,SC,3.826530612244898e-05,3
CB,SC,4.668534080298786e-05,2
QM,SC,1.5197568389057751e-05,2
CB,MN,2.3013900395839086e-05,1
CB,PE,1.8890022290226302e-05,2
TO,TO,0.001038781163434903,6
QM,TO,0.0001959686450167973,7
QM,CB,4.171881518564873e-05,3
BM,MN,1.6053769425061005e-05,3
TO,QM,2.7995520716685332e-05,1
Quantitative Biology,SC,5.567308762943993e-06,2
Quantitative Biology,CB,3.056561673773172e-05,6
Neurons and Cognition,TO,7.289692374981776e-05,2
SC,MN,2.5150905432595573e-05,2
OT,PE,3.118892169501393e-05,3
SC,CB,2.334267040149393e-05,1
SC,QM,7.5987841945288756e-06,1
OT,TO,0.0001893222264293828,2
GN,TO,1.4317622129316762e-05,1
OT,MN,5.06636943965954e-05,2
CB,TO,8.599931200550395e-05,1
BM,SC,5.427702996092054e-06,1
PE,SC,5.161023947151115e-06,1
MN,TO,4.633061527057079e-05,1
BM,PE,2.1961804030430276e-06,1
OT,SC,2.5693730729701953e-05,1
MN,Neurons and Cognition,1.95076274823456e-05,2
MN,CB,2.3013900395839086e-05,1
GN,Neurons and Cognition,6.028472475501795e-06,2
Neurons and Cognition,CB,1.8105118316948202e-05,1
