source,target,weight,raw_count
ST,ST,0.0001337435290117196,365
TR,TR,0.0038766984079190033,103
ST,GN,2.0419078533093398e-05,31
CP,ST,2.087334056942473e-05,2
GN,GN,0.00019536777094845726,165
ST,TR,0.0002859519600707081,77
ST,PR,0.0001366867140513942,28
TR,GN,4.005420669305794e-05,6
TR,ST,0.00015226013458310433,41
PR,TR,0.00034632891351672274,7
GN,ST,1.8443038675052103e-05,28
RM,ST,6.053268765133172e-05,6
PR,PR,0.0023413111342351716,36
PM,ST,0.00013207131851199647,12
GN,TR,4.6729907808567596e-05,7
ST,PM,0.00017609509134932863,16
PM,PM,0.002644628099173554,8
CP,PR,0.0009733036707452725,7
ST,CP,2.087334056942473e-05,2
PR,CP,0.0008342602892102336,6
PR,ST,7.322502538467547e-05,15
TR,PR,0.00024737779536908766,5
PR,GN,3.510126715574432e-05,4
PM,TR,0.0002230897936419409,2
RM,TR,0.00010224948875255624,1
RM,RM,0.0016666666666666668,6
ST,RM,3.026634382566586e-05,3
TR,PM,0.00033463469046291134,3
PR,PM,0.0002932551319648094,2
PM,RM,0.0006060606060606061,2
TR,CP,0.00010577533319229955,1
PR,RM,0.00013440860215053763,1
GN,PM,1.9784350578692255e-05,1
PM,PR,0.0002932551319648094,2
